Nontrivial (abc != 0) points on V(F_p):
p | NTbase | NTproper | NTbase/p^3
3 | 0 | 0 | 0
5 | 0 | 0 | 0
7 | 0 | 0 | 0
11 | 0 | 0 | 0
13 | 96 | 768 | 0.043695949021392808375056895766954938553
17 | 384 | 2304 | 0.078159983716670059027071036026867494403
19 | 0 | 0 | 0
23 | 352 | 5632 | 0.028930714227007479247143913865373551410
29 | 2016 | 16128 | 0.082660215670999220960268973717659600640
31 | 1080 | 17280 | 0.036252559497834916585545970259474337887
37 | 2880 | 23040 | 0.056857441809961897617120407478332971394
41 | 4800 | 51840 | 0.069644955818981152333831488225649656854
43 | 3024 | 48384 | 0.038034386909328738350082382683285748425
47 | 4600 | 73600 | 0.044306174932336765456594396232048775320
53 | 9984 | 119808 | 0.067062071374356012009914224494045420045
59 | 8352 | 133632 | 0.040666280388939472876973789920098939035
61 | 14880 | 165120 | 0.065556147871407738973746701265744709910
67 | 14256 | 228096 | 0.047399447405432184144991238948939862949
71 | 17920 | 286720 | 0.050068313072244217137780062641271154002
73 | 24192 | 282240 | 0.062187513656215538138436109475935498963
79 | 25272 | 404352 | 0.051257608424485689773019984220315228613
83 | 29520 | 472320 | 0.051627616577501762019773097324703079993
89 | 50688 | 671616 | 0.071901033946173519686681258324834141643
97 | 62208 | 837120 | 0.068160228252616216322823179824537375380
101 | 62400 | 806400 | 0.060564825230685013408702893620408016686
103 | 58752 | 940032 | 0.053766402770316831193884657375538446474
107 | 61056 | 976896 | 0.049839883171447859381262535274272005146
109 | 78624 | 1043712 | 0.060712153936321117133284273942900120383
