p  p%8  p%12  p%24  nontriv_count
p=3  p%8=3  p%12=3  p%24=3  count=0
p=5  p%8=5  p%12=5  p%24=5  count=0
p=7  p%8=7  p%12=7  p%24=7  count=0
p=11  p%8=3  p%12=11  p%24=11  count=0
p=13  p%8=5  p%12=1  p%24=13  count=0
p=17  p%8=1  p%12=5  p%24=17  count=0
p=19  p%8=3  p%12=7  p%24=19  count=0
p=23  p%8=7  p%12=11  p%24=23  count=5632
p=29  p%8=5  p%12=5  p%24=5  count=0
p=31  p%8=7  p%12=7  p%24=7  count=17280
p=37  p%8=5  p%12=1  p%24=13  count=0
p=41  p%8=1  p%12=5  p%24=17  count=30720
p=43  p%8=3  p%12=7  p%24=19  count=48384
p=47  p%8=7  p%12=11  p%24=23  count=73600
p=53  p%8=5  p%12=5  p%24=5  count=79872
p=59  p%8=3  p%12=11  p%24=11  count=133632
p=61  p%8=5  p%12=1  p%24=13  count=92160
p=67  p%8=3  p%12=7  p%24=19  count=228096
p=71  p%8=7  p%12=11  p%24=23  count=286720
