[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
=== Primitive Saunderson fibers (1<=n<m<=20, gcd=1, m+n odd) ===

m n | a b | bad_primes | sf(P) sf(Q) | ab bc ac | All3
2 1 | 3 4 | [2, 3, 7]~ | 7 -1 | FPF | no
3 2 | 5 12 | [2, 3, 5, 7, 17]~ | 17 -7 | FFF | no
4 1 | 15 8 | [2, 3, 5, 7, 23]~ | 23 7 | FPF | no
4 3 | 7 24 | [2, 3, 7, 17, 31]~ | 31 -17 | FFF | no
5 2 | 21 20 | [2, 3, 5, 7, 41]~ | 41 1 | PPP | YES
5 4 | 9 40 | [2, 3, 5, 7, 31]~ | 1 -31 | PPF | no
6 1 | 35 12 | [2, 3, 5, 7, 23, 47]~ | 47 23 | FPF | no
6 5 | 11 60 | [2, 3, 5, 7, 11, 71]~ | 71 -1 | FPF | no
7 2 | 45 28 | [2, 3, 5, 7, 17, 73]~ | 73 17 | FFF | no
7 4 | 33 56 | [2, 3, 7, 11, 23, 89]~ | 89 -23 | FFF | no
7 6 | 13 84 | [2, 3, 7, 13, 71, 97]~ | 97 -71 | FFF | no
8 1 | 63 16 | [2, 3, 7, 47, 79]~ | 79 47 | FPF | no
8 3 | 55 48 | [2, 3, 5, 7, 11, 103]~ | 103 7 | FFP | no
8 5 | 39 80 | [2, 3, 5, 7, 13, 17, 41]~ | 119 -41 | FFF | no
8 7 | 15 112 | [2, 3, 5, 7, 97, 127]~ | 127 -97 | FFF | no
9 2 | 77 36 | [2, 3, 7, 11, 41, 113]~ | 113 41 | PPP | YES
9 4 | 65 72 | [2, 3, 5, 7, 13, 137]~ | 137 -7 | PPF | no
9 8 | 17 144 | [2, 3, 7, 17, 23, 127]~ | 161 -127 | FPF | no
10 1 | 99 20 | [2, 3, 5, 7, 11, 17, 79]~ | 119 79 | FFF | no
10 3 | 91 60 | [2, 3, 5, 7, 13, 31, 151]~ | 151 31 | FFP | no
10 7 | 51 140 | [2, 3, 5, 7, 17, 89, 191]~ | 191 -89 | FFF | no
10 9 | 19 180 | [2, 3, 5, 7, 19, 23, 199]~ | 199 -161 | FFF | no
11 2 | 117 44 | [2, 3, 7, 11, 13, 23, 73]~ | 161 73 | FFF | no
11 4 | 105 88 | [2, 3, 5, 7, 11, 17, 193]~ | 193 17 | FFF | no
11 6 | 85 132 | [2, 3, 5, 7, 11, 17, 31, 47]~ | 217 -47 | FFF | no
11 8 | 57 176 | [2, 3, 7, 11, 17, 19, 233]~ | 233 -119 | FFF | no
11 10 | 21 220 | [2, 3, 5, 7, 11, 199, 241]~ | 241 -199 | FFF | no
12 1 | 143 24 | [2, 3, 7, 11, 13, 17, 167]~ | 167 119 | FFF | no
12 5 | 119 120 | [2, 3, 5, 7, 17, 239]~ | 239 -1 | FPF | no
12 7 | 95 168 | [2, 3, 5, 7, 19, 73, 263]~ | 263 -73 | FFF | no
12 11 | 23 264 | [2, 3, 7, 11, 23, 41, 241]~ | 287 -241 | FFF | no
13 2 | 165 52 | [2, 3, 5, 7, 11, 13, 31, 113]~ | 217 113 | PFP | no
13 4 | 153 104 | [2, 3, 7, 13, 17, 257]~ | 257 1 | PPP | YES
13 6 | 133 156 | [2, 3, 7, 13, 17, 19, 23]~ | 1 -23 | PPF | no
13 8 | 105 208 | [2, 3, 5, 7, 13, 103, 313]~ | 313 -103 | PPF | no
13 10 | 69 260 | [2, 3, 5, 7, 13, 23, 47, 191]~ | 329 -191 | FPF | no
13 12 | 25 312 | [2, 3, 5, 7, 13, 41, 337]~ | 337 -287 | PPF | no
