[0;31m  ***   Warning: new stack size = 700000000 (667.572 Mbytes).[0m
[0;31m  ***   Warning: new maximum stack size = 1200001024 (1144.410 Mbytes).[0m
m n sigma logD N rootno analrank
2 1 2.7216976134290603464901675930086105201 8.2862694527830653757916864345764622779 21 1 0
3 2 2.7233838325922781067642785957129736554 20.390447790631899034693793003227465907 1785 1 0
4 1 2.8019231559484052318727161819449131824 23.767598256617547493477157916934311345 4830 1 0
4 3 2.7471700393828501575151628702797769410 27.485079570216197876028718292126495502 22134 -1 1
5 2 3.1123853767878081138118320875350407681 26.042985534038709092138956000442387472 4305 -1 1
5 4 3.7183124281324839140774667227744621728 32.650853686512605979513667336975095807 6510 1 0
6 1 2.7996768760763366789970726373173454739 32.587125035908510039660836257532311950 113505 1 0
6 5 3.2465126160870913726503077388482930069 36.732782245906206503312112631254157688 82005 1 2
7 2 3.1634230492242424940898241658291869598 37.257636125711746668669697152681013327 130305 1 0
7 4 2.8918169593872509326577973936861744502 39.790520735649534458168231464116135884 945714 1 0
7 6 2.7765660864646824773562796003176522892 40.112668891829235417108693996158087778 1880151 -1 1
8 1 3.2245590462992046294864423900438710697 38.556907258399853388909022263325506362 155946 1 0
8 3 3.1608308057806987376822717805032387821 39.130237614651783067317559681114024221 237930 -1 1
8 5 3.0170165699618759749362061784166309078 43.622566798366224061979126487228968048 1902810 -1 1
8 7 2.9120139970429868496263223391816747981 42.998814975033604150071611084873493057 2586990 1 0
9 2 3.1005452001958049534471916512503442204 43.046039767592909672728936914320300276 1070223 1 0
9 4 3.2723421540340194922279400990210053809 41.990818260934083652288963223225027127 374010 1 0
9 8 3.1282712618422577123869021093114990762 45.518112032935412865417050104477460810 2085594 1 2
10 1 3.0246815298932962589061900894193596268 43.115373741431862964868439345740907769 1551165 -1 1
10 3 2.9213565134952282016089238631435193358 45.778172913076381578070180268682513716 6389565 -1 1
10 7 2.8691824250438215723379793773393739446 49.430514372412497227739098711604511170 30343215 1 0
10 9 2.9795490860472625397975900490970964955 47.753824255164951652245562690080196444 9131115 1 0
11 2 3.0702403770892492745312529466744400280 47.384004442650214901632114838885834094 5042037 -1 1
11 4 2.9778484436438310731983539314544262951 47.171818279985560162531063394573166366 7579110 1 0
11 6 2.9248138612398461952769853741949958948 50.216725182328223036940866539463298016 28608195 -1 1
11 8 2.9813709548262911066222146017467905478 51.769287500365705158516946430737834199 34769658 -1 1
12 1 2.8112799794324173585193594269023318159 46.812651009008418108940909787766771971 17051034 1 0
12 5 3.1979863808609960263327305700850594917 43.674210602957760376998823400216602903 853230 1 0
12 7 2.9134596717834781096563719586074053230 52.891412986187947922466537711038922039 76604010 -1 1
12 11 2.7932188171108196682644539196275543545 51.589154130322853151601749943006916870 104995506 -1 1
13 2 2.8629561439700081479222467990293158806 50.898149669954069623679039481919762220 52597545 1 2
13 6 3.5681916106662807645413265097026940585 51.819484905488764472864095550388408685 2028117 1 0
14 1 2.8136698688467368318213525731502868238 49.925969998229988160411090993564685499 50833965 -1 1
14 3 2.8940597437559645840399040454809614288 53.576219836530711824979249481334450798 109614351 -1 1
14 5 3.1680800265946535307449462835115083845 53.135606705297054850272839709559168236 19233795 -1 1
14 9 3.0729828491852198823363316339754323455 57.202952966784521387082665663575048700 121423785 1 0
14 11 3.1133023612253740651850521935760764176 57.443321027052670269646799722775555514 103071045 1 0
14 13 3.1499908192764500263759848144543812015 54.804366470760171452500611591767809527 35972391 1 2
15 2 2.8611733757782649083548833856485561339 53.864369679116269051233594318241729516 149973915 1 0
15 4 2.9190065060828653739265062531303042822 55.543514775502888978425068713609896313 183591870 -1 1
15 8 3.0473193604663937388804657809143142623 57.429814268373436083017546810935290620 153009570 -1 1
16 1 3.0412075322997345026483345165772129211 52.616128321792528033205384861992933025 32640510 1 0
16 3 3.9581079795105341065452523346996391035 56.459789235865419751062414958628941162 1566474 -1 1
16 5 3.1701561197792737357976176747338192229 56.987963532596281758431472988118921813 64127910 -1 1
16 7 3.5017261937199529144888879001404425583 55.230924804322000963811572502288181425 7077882 1 0
16 9 3.6698261741371225532849877340865438719 59.496038117355426746720190342210007716 10986990 1 0
16 15 3.0019276483629289128616344385766736796 57.572700744960686415609427819678065639 213378270 -1 1
18 1 2.9852277639824334446570024831210551379 54.985116810731303656236628098594660520 99838977 -1 1
18 5 3.0956706662681486449900952559858356806 59.930072433688913977949090707218860847 255649485 1 0
18 7 3.5154417144922523708593537816162982862 57.845012825173439958608125395274302600 13999755 1 2
18 11 3.0755440781064926119162913347566881637 62.949206890746178837894495762990119079 774451293 1 0
20 1 2.8185394907104631972962294338891131155 57.101829642662537008193077498446560073 628827990 1 0
20 3 2.8836034664022291998863961368050602651 61.156596588756895254466759913336018944 1624382130 -1 1
20 9 3.1714713764746064145783989886220602428 61.528389480986446414392465631794924153 266419230 1 0
20 11 3.0942097804777477631089514752567737321 64.645300035866146796075542598427747208 1184214570 1 0
22 1 2.8196914469628972710341716222930862660 59.015047629036840277820999704880598303 1229178489 1 2
22 3 3.8483686428891507368559712018580977441 63.131807938455362133603000583263997194 13320615 -1 1
24 1 3.1582916865177591368635621729364834721 60.760600896999033940155658365462826343 226541490 -1 1
24 5 3.0032735224435192097176513945550197646 66.450499245393836703858032714243093848 4066396530 -1 1
24 7 3.0347345859155648816315141956584734593 66.817445627798819402622148377622049619 3648413622 1 2
24 11 3.0884775249390991222391558795768893972 66.374534488740400442507902557943290472 2154922770 1 0
26 1 3.4086129989754824907657047348634910742 62.365594185978211256434209781053677667 88319595 -1 1
26 15 2.9371433047679146612456410373672003139 71.361147346165351404465959124641342302 35617637055 1 0
28 1 3.1259528858701328156682688877910227575 63.851034470425697949802933986609165906 742922754 -1 1
28 3 3.0889912843391639555629654785233715021 68.077320737932772717841029250663048914 3726330510 -1 1
28 5 2.9067756545523774871022741924466706256 69.757417254800240917356490896417164338 26441791530 -1 1
28 9 3.1013250536021610488543470539924078122 70.344951286692619400739014651172229301 7091938518 -1 1
28 15 2.9507796984353158230395119501647574827 72.456763303488725241178094947476188300 46148239410 1 0
30 1 2.8230539848848608382567835107583602934 65.233536504996610151686507067857268940 10850044485 1 0
32 1 3.0970331129698796665866210142503588669 66.526469876774926203346400266588887899 2132817918 1 0
32 3 3.1431107725326509769603090652484167068 70.793078453084317170791955558809121359 6049568490 -1 1
32 5 3.5026473782395714005035736878242584361 72.565626213841761974886630765008376506 994117110 1 0
32 9 3.7005692388833936262347900836192011535 73.737857030138518716050344159275737224 450597462 -1 1
32 15 3.2583399443457062148698234609968395136 73.763809695877106213972005867325042658 6788280030 1 2
36 1 2.9580477512368400548389522715920183876 68.885422872941455096547939890551165498 12990204570 1 0
36 5 3.0295519779579560800055356658204859912 75.012458765840820849119496513830823684 56655117330 -1 1
36 7 3.0473836693376877970632002124772997061 76.016388164533279823630271082938825872 68138207382 -1 1
40 1 3.1573576673592902746828576497443569386 70.994986264898408251080341512026081412 5825844570 -1 1
44 1 3.3348802038438704185464456204114388609 72.902929870022762991402979100876264290 3118862670 -1 1
48 1 3.2355628660530558226165453539271797444 74.644480258867385213444728927600712961 10451526582 -1 1
56 25 4.2594422344463695492205816283457657125 86.005990993873621370410226498446369600 587768370 1 0
64 1 3.2755137483902439798571622716107591436 80.401164547244132809033287356443270307 45734709930 -1 1
EXIT=ok
