m n sigma hat_h logD h/logD n_max maxcomp h_NA lambda_inf onc
6 5 3.2465126160870913726503077388482930069 2.2892690323915498229457830601858219194 36.732782245906206503312112631254157688 0.062322233504288507227483518932216792219 4 2 -4.1041121775924628803922724203160134092 6.3933812099840127033380554805018353286 1
9 8 3.1282712618422577123869021093114990762 1.8458161903416604383535862039638027053 45.518112032935412865417050104477460810 0.040551246699469617415132988736441848260 8 3 -6.4574140873724218392632223820902515278 8.3032302777140822776168085860540542331 1
13 2 2.8629561439700081479222467990293158806 3.0606390847270431258315449622215841742 50.898149669954069623679039481919762220 0.060132619841262788280256542756554757894 4 1 -5.3676866347104844863407455461411357090 8.4283257194375276121722905083627198831 1
14 13 3.1499908192764500263759848144543812015 3.5211283154073662182928597616695437044 54.804366470760171452500611591767809527 0.064249046967562289693917301501112997723 12 1 -4.3902058945000714146481049392686889801 7.9113342099074376329409647009382326844 1
11 6 2.9248138612398461952769853741949958948 2.2716458618319795145285286825649257728 50.216725182328223036940866539463298016 0.045236837997380897034924182668476702153 4 2 -5.8372060694105302822992144172062514085 8.1088519312425097968277430997711771813 1
14 5 3.1680800265946535307449462835115083845 6.6636755914981355286840056380043274824 53.135606705297054850272839709559168236 0.12540885490320068078853503851612517651 8 2 -1.6504209890220698139078152083598608352 8.3140965805202053425918208463641883176 1
16 5 3.1701561197792737357976176747338192229 1.6692399474844580670283399275257019688 56.987963532596281758431472988118921813 0.029291096645867635325241819232509563582 12 2 -7.2675383423932888495440334960422480733 8.9367782898777469165723734235679500420 1
11 8 2.9813709548262911066222146017467905478 3.0451216982495320285953826505392966450 51.769287500365705158516946430737834199 0.058821008464294991163840549342292928083 8 2 -5.5091834068340548521357133687965097214 8.5543051050835868807310960193358063663 1
12 7 2.9134596717834781096563719586074053230 5.0781530619660024642058967633271709828 52.891412986187947922466537711038922039 0.096010916995016000985884047414991505037 4 2 -5.8976964935215820852191447838995678813 10.975849555487584549425041547226738864 1
15 4 2.9190065060828653739265062531303042822 3.8733646936853866254162067040075677885 55.543514775502888978425068713609896313 0.069735678581754233633740175435645420851 4 2 -4.6713777989119747230225210229011266929 8.5447424925973613484387277269086944814 1
14 1 2.8136698688467368318213525731502868238 5.6500183158604799634871226726484397275 49.925969998229988160411090993564685499 0.11316792274763592027580277898945036998 4 2 -3.3503493162841497511605014126919219318 9.0003676321446297146476240853403616593 1
15 8 3.0473193604663937388804657809143142623 7.7725151490758761236598669037492392447 57.429814268373436083017546810935290620 0.13533937464527367462448941266730011951 8 3 -4.3441734012733204516579082080997864994 12.116688550349196575317775111849025744 1
12 11 2.7932188171108196682644539196275543545 6.7406471372518073361289806029146886714 51.589154130322853151601749943006916870 0.13066016008372229714744426827430177621 4 2 -0.79659441806636113495934507517751115144 7.5372415553181684710883256780921998229 1
26 1 3.4086129989754824907657047348634910742 3.8280981581823529086640384297134089185 62.365594185978211256434209781053677667 0.061381571171545613725261341785623887398 12 3 -8.3862408279409942126085174857703634780 12.214338986123347121272555915483772397 1
18 1 2.9852277639824334446570024831210551379 8.5405208226801974100980962747083114739 54.985116810731303656236628098594660520 0.15532422804662235351947540097223336165 8 3 -0.44539180455845158080164460893695711430 8.9859126272386489908997408836452685882 1
14 3 2.8940597437559645840399040454809614288 5.9516449955129529149992198386486135950 53.576219836530711824979249481334450798 0.11108743792810200716461252586671490387 4 1 -2.2833918282925672473754484852742790757 8.2350368238055201623746683239228926707 1
16 15 3.0019276483629289128616344385766736796 6.9710191790198512950539908804821729369 57.572700744960686415609427819678065639 0.12108202479332223419135840484525536142 12 2 -1.3575579188384867864589759805310976086 8.3285770978583380815129668610132705454 1
28 1 3.1259528858701328156682688877910227575 12.624801570846258158702037378248668021 63.851034470425697949802933986609165906 0.19772274130803268711862096127438921454 12 5 3.2841889836329730726372201483870889819 9.3406125872132850860648172298615790388 1
32 9 3.7005692388833936262347900836192011535 8.5685762374968537904501926376082009959 73.737857030138518716050344159275737224 0.11620321748697769919396554487455113822 16 5 -3.2742857839954996188106506178201071689 11.842862021492353409260843255428308165 1
24 1 3.1582916865177591368635621729364834721 2.7257807827141460433799643675966004588 60.760600896999033940155658365462826343 0.044860991209334342765035954357426256255 8 1 -6.1716454079936613750690203384835989970 8.8974261907078074184489847060801994558 1
20 3 2.8836034664022291998863961368050602651 5.2920095869147556560475837491140056074 61.156596588756895254466759913336018944 0.086532113984375076840465226663038758084 4 2 -10.318900296477479404305181936773064717 15.610909883392235060352765685887070324 1
