[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
[0;31m  ***   Warning: new maximum stack size = 1200001024 (1144.410 Mbytes).[0m
=== Exact-square locus F6=k^2 : structural + rank + Face3 ===
(s,t) | (m,n) | q=a/b | F6=(m+n)^2-2n^2 | cond | torsion | rank_lo rank_hi | jflag
5 1 | (17,10) | 189/340 | F6=529 sq=1 F5=-151 | N=6199305 | tor=8 | rk=[1,1] | j-num-fac:
7 1 | (37,14) | 1173/1036 | F6=2209 sq=1 F5=137 | N=1956213273 | tor=8 | rk=[1,1] | j-num-fac:
9 1 | (65,18) | 3901/2340 | F6=6241 sq=1 F5=1561 | N=93808146705 | tor=8 | rk=[0,0] | j-num-fac:
11 1 | (101,22) | 9717/4444 | F6=14161 sq=1 F5=5273 | N=6774090499869 | tor=8 | rk=[0,0] | j-num-fac:
13 1 | (145,26) | 20349/7540 | F6=27889 sq=1 F5=12809 | N=27350474698365 | tor=8 | rk=[1,1] | j-num-fac:
15 1 | (197,30) | 37909/11820 | F6=49729 sq=1 F5=26089 | N=651721591482465 | tor=8 | rk=[0,0] | j-num-fac:
17 1 | (257,34) | 64893/17476 | F6=82369 sq=1 F5=47417 | N=3858298879730043 | tor=8 | rk=[0,2] | j-num-fac:
19 1 | (325,38) | 104181/24700 | F6=128881 sq=1 F5=79481 | N=333749455154115 | tor=8 | rk=[1,1] | j-num-fac:
21 1 | (401,42) | 159037/33684 | F6=192721 sq=1 F5=125353 | N=73698915057040959 | tor=8 | rk=[1,1] | j-num-fac:
23 1 | (485,46) | 233109/44620 | F6=277729 sq=1 F5=188489 | N=86100165608551395 | tor=8 | rk=[0,0] | j-num-fac:
25 1 | (577,50) | 330429/57700 | F6=388129 sq=1 F5=272729 | N=161973266359190055 | tor=8 | rk=[1,1] | j-num-fac:
27 1 | (677,54) | 455413/73116 | F6=528529 sq=1 F5=382297 | N=257069556247341957 | tor=8 | rk=[1,1] | j-num-fac:
29 1 | (785,58) | 612861/91060 | F6=703921 sq=1 F5=521801 | N=872566364747208705 | tor=8 | rk=[1,1] | j-num-fac:
31 1 | (901,62) | 807957/111724 | F6=919681 sq=1 F5=696233 | N=5022577991908441083 | tor=8 | rk=[0,0] | j-num-fac:
