[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
[0;31m  ***   Warning: new maximum stack size = 1200001024 (1144.410 Mbytes).[0m
=== Fast rank census on exact-square locus (ellrank bounded) ===
(s,t) | q=a/b | rank_lo | rank_hi | torsion | 2-isog deg structure
(5,1) | 189/340 | rk=[1,1] | tor=8
(7,1) | 1173/1036 | rk=[1,1] | tor=8
(9,1) | 3901/2340 | rk=[0,0] | tor=8
(11,1) | 9717/4444 | rk=[0,0] | tor=8
(13,1) | 20349/7540 | rk=[1,1] | tor=8
(15,1) | 37909/11820 | rk=[0,0] | tor=8
(17,1) | 64893/17476 | rk=[0,2] | tor=8
(19,1) | 104181/24700 | rk=[1,1] | tor=8
(21,1) | 159037/33684 | rk=[1,1] | tor=8
(23,1) | 233109/44620 | rk=[0,0] | tor=8
(25,1) | 330429/57700 | rk=[1,1] | tor=8
(27,1) | 455413/73116 | rk=[1,1] | tor=8
(29,1) | 612861/91060 | rk=[1,1] | tor=8
(31,1) | 807957/111724 | rk=[0,0] | tor=8
(33,1) | 1046269/135300 | rk=[0,2] | tor=8
(35,1) | 1333749/161980 | rk=[0,0] | tor=8
(37,1) | 1676733/191956 | rk=[1,1] | tor=8
(39,1) | 2081941/225420 | rk=[1,1] | tor=8
(41,1) | 2556477/262564 | rk=[1,1] | tor=8
(43,1) | 3107829/303580 | rk=[0,2] | tor=8
(45,1) | 3743869/348660 | rk=[1,1] | tor=8
(47,1) | 4472853/397996 | rk=[1,1] | tor=8
--- determined-rank tally over 22 fibers: 
    r=0:6 r=1:13 r=2:0 r=3:0 ambiguous:3
