[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
[0;31m  ***   Warning: new maximum stack size = 1200001024 (1144.410 Mbytes).[0m
=== Root number + rank-within-R on exact-square locus (t=1) ===
(s,1) | q | w | (if w=-1) rank
(3,1) | -11/60 | w=+1 | (even)
(5,1) | 189/340 | w=-1 | rk=[1,1]
(7,1) | 1173/1036 | w=-1 | rk=[1,1]
(9,1) | 3901/2340 | w=+1 | (even)
(11,1) | 9717/4444 | w=+1 | (even)
(13,1) | 20349/7540 | w=-1 | rk=[1,1]
(15,1) | 37909/11820 | w=+1 | (even)
(17,1) | 64893/17476 | w=+1 | (even)
(19,1) | 104181/24700 | w=-1 | rk=[1,1]
(21,1) | 159037/33684 | w=-1 | rk=[1,1]
(23,1) | 233109/44620 | w=+1 | (even)
(25,1) | 330429/57700 | w=-1 | rk=[1,1]
(27,1) | 455413/73116 | w=-1 | rk=[1,1]
(29,1) | 612861/91060 | w=-1 | rk=[1,1]
(31,1) | 807957/111724 | w=+1 | (even)
(33,1) | 1046269/135300 | w=+1 | (even)
(35,1) | 1333749/161980 | w=+1 | (even)
(37,1) | 1676733/191956 | w=-1 | rk=[1,1]
(39,1) | 2081941/225420 | w=-1 | rk=[1,1]
(41,1) | 2556477/262564 | w=-1 | rk=[1,1]
(43,1) | 3107829/303580 | w=+1 | (even)
(45,1) | 3743869/348660 | w=-1 | rk=[1,1]
(47,1) | 4472853/397996 | w=-1 | rk=[1,1]
(49,1) | 5303421/451780 | w=-1 | rk=[1,1]
(51,1) | 6244597/510204 | w=+1 | (even)
(53,1) | 7305789/573460 | w=-1 | rk=[1,1]
(55,1) | 8496789/641740 | w=+1 | (even)
(57,1) | 9827773/715236 | w=+1 | (even)
(59,1) | 11309301/794140 | w=+1 | (even)
(61,1) | 12952317/878644 | w=-1 | rk=[1,1]
(63,1) | 14768149/968940 | w=-1 | rk=[1,1]
(65,1) | 16768509/1065220 | w=+1 | (even)
(67,1) | 18965493/1167676 | w=-1 | rk=[1,1]
(69,1) | 21371581/1276500 | w=-1 | rk=[1,1]
(71,1) | 23999637/1391884 | w=+1 | (even)
(73,1) | 26862909/1514020 | w=-1 | rk=[1,1]
(75,1) | 29975029/1643100 | w=-1 | rk=[1,1]
(77,1) | 33350013/1779316 | w=-1 | rk=[1,1]
(79,1) | 37002261/1922860 | w=+1 | (even)
--- R (w=-1) fibers: 22; rank exactly 1: 22; not-det-1: 0
--- even (w=+1) fibers: 17; total: 39
