[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
[0;31m  ***   Warning: new maximum stack size = 1200001024 (1144.410 Mbytes).[0m
=== (i) F5 = square locus (m,n)=(s^2+2st+2t^2, 2st) ===
F5sq (17,6) F5=49 F6=457 | tor=8 w=1  (even)
F5sq (37,10) F5=529 F6=2009 | tor=8 w=1  (even)
F5sq (65,14) F5=2209 F6=5849 | tor=8 w=1  (even)
F5sq (101,18) F5=6241 F6=13513 | tor=8 w=-1  rk=[1,1]
F5sq (145,22) F5=14161 F6=26921 | tor=8 w=-1  rk=[1,1]
F5sq (197,26) F5=27889 F6=48377 | tor=8 w=1  (even)
F5sq (257,30) F5=49729 F6=80569 | tor=8 w=1  (even)
F5sq (325,34) F5=82369 F6=126569 | tor=8 w=1  (even)
F5sq (401,38) F5=128881 F6=189833 | tor=8 w=-1  rk=[1,1]
F5sq (485,42) F5=192721 F6=274201 | tor=8 w=-1  rk=[1,1]
F5sq (577,46) F5=277729 F6=383897 | tor=8 w=1  (even)
F5sq (677,50) F5=388129 F6=523529 | tor=8 w=1  (even)
F5sq (785,54) F5=528529 F6=698089 | tor=8 w=1  (even)
F5sq (901,58) F5=703921 F6=912953 | tor=8 w=-1  rk=[1,1]
F5sq (1025,62) F5=919681 F6=1173881 | tor=8 w=-1  rk=[1,1]
F5sq (1157,66) F5=1181569 F6=1487017 | tor=8 w=1  (even)
F5sq (1297,70) F5=1495729 F6=1858889 | tor=8 w=1  (even)
F5sq (1445,74) F5=1868689 F6=2296409 | tor=8 w=1  (even)
F5sq (1601,78) F5=2307361 F6=2806873 | tor=8 w=-1  rk=[1,1]

=== (ii) F6 = 7*k^2 conic (squarefree co-factor d=7) ===
F6=7k^2 (16,3) F5=151 F6=343 | tor=8 w=-1  rk=[1,1]
F6=7k^2 (32,27) F5=-1433 F6=2023 | tor=8 w=-1  rk=[1,1]
F6=7k^2 (44,1) F5=1847 F6=2023 | tor=8 w=-1  rk=[1,1]
F6=7k^2 (44,31) F5=-1753 F6=3703 | tor=8 w=1  (even)
F6=7k^2 (58,3) F5=3007 F6=3703 | tor=8 w=-1  rk=[1,1]
F6=7k^2 (58,57) F5=-6497 F6=6727 | tor=8 w=1  (even)
F6=7k^2 (74,9) F5=4063 F6=6727 | tor=8 w=-1  rk=[1,1]
F6=7k^2 (86,31) F5=1103 F6=11767 | tor=8 w=1  (even)

=== (iii) F6 = 23*k^2 conic (d=23) ===
F6=23k^2 (4,1) F5=7 F6=23 | tor=8 w=1  (even)
F6=23k^2 (24,19) F5=-697 F6=1127 | tor=8 w=1  (even)
F6=23k^2 (26,11) F5=-17 F6=1127 | tor=8 w=-1  rk=[1,1]
F6=23k^2 (58,49) F5=-4721 F6=6647 | tor=8 w=-1  rk=[1,1]
F6=23k^2 (72,11) F5=3479 F6=6647 | tor=8 w=-1  rk=[1,1]
F6=23k^2 (78,77) F5=-11857 F6=12167 | tor=8 w=-1  rk=[1,1]
