[0;31m  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).[0m
mm nn Ncond D_mn D_mpn D_m2pn2 D_m2mn2 D_mn_mpn ok_mn ok_mpn ok_m2pn2 ok_m2mn2 ok_mn_mpn
4 3 22134 -3 -7 -4 -7 -84 0 0 0 0 0
5 2 4305 -40 -7 -116 -84 -280 0 0 0 0 0
7 6 1880151 -168 -52 -340 -52 -2184 0 0 0 0 0
8 3 237930 -24 -11 -292 -55 -264 0 0 0 0 0
8 5 1902810 -40 -52 -356 -39 -520 0 0 0 0 0
10 1 1551165 -40 -11 -404 -11 -440 0 0 0 0 0
10 3 6389565 -120 -52 -436 -91 -1560 0 0 0 0 0
11 2 5042037 -88 -52 -20 -52 -1144 0 0 0 0 0
11 6 28608195 -264 -68 -628 -340 -4488 0 0 0 0 0
11 8 34769658 -88 -19 -740 -228 -1672 0 0 0 0 0
12 7 76604010 -84 -19 -772 -95 -399 0 0 0 0 0
12 11 104995506 -132 -23 -1060 -23 -759 0 0 0 0 0
13 8 88012470 -104 -84 -932 -420 -2184 0 0 0 0 0
13 10 281832915 -520 -23 -1076 -276 -11960 0 0 0 0 0
13 12 37720410 -39 -4 -1252 -4 -39 0 0 0 0 0
14 1 50833965 -56 -15 -788 -195 -840 0 0 0 0 0
14 3 109614351 -168 -68 -820 -187 -2856 0 0 0 0 0
14 5 19233795 -280 -19 -884 -19 -5320 0 0 0 0 0
15 4 183591870 -15 -19 -964 -836 -1140 0 0 0 0 0
15 8 153009570 -120 -23 -4 -644 -2760 0 0 0 0 0
15 14 534577155 -840 -116 -1684 -116 -24360 0 0 0 0 0
16 3 1566474 -3 -19 -1060 -247 -228 0 0 0 0 0
16 5 64127910 -20 -84 -1124 -231 -420 0 0 0 0 0
16 11 34874070 -11 -3 -1508 -15 -132 0 0 0 0 0
16 13 374331594 -52 -116 -68 -87 -1508 0 0 0 0 0
16 15 213378270 -15 -31 -1924 -31 -1860 0 0 0 0 0
17 8 11913090 -136 -4 -1412 -4 -136 0 0 0 0 0
17 10 6199305 -680 -3 -1556 -84 -2040 0 0 0 0 0
17 16 330818334 -68 -132 -2180 -132 -2244 0 0 0 0 0
18 1 99838977 -8 -19 -52 -323 -152 0 0 0 0 0
18 7 13999755 -56 -4 -1492 -11 -56 0 0 0 0 0
18 13 1178768955 -104 -31 -1972 -155 -3224 0 0 0 0 0
19 2 825307959 -152 -84 -1460 -1428 -3192 0 0 0 0 0
19 4 1257524310 -19 -23 -1508 -1380 -1748 0 0 0 0 0
