[0;31m  ***   Warning: new stack size = 1000000000 (953.674 Mbytes).[0m
=== Identify quadratic twist d such that J(S_q) ≅ E_PCP(q)^(d) ===

| n | m | cond(E_PCP) | cond(J(S_q)) | ratio | candidate d |
|---|---|---|---|---|---|
| 3 | 4 | 21 | 336 | 16 | d = -1 |
| 4 | 3 | 21 | 336 | 16 | d = -1 |
| 5 | 12 | 1785 | 28560 | 16 | d = -1 |
| 20 | 21 | 4305 | 68880 | 16 | d = -1 |
| 11 | 60 | 82005 | 1312080 | 16 | d = -1 |
| 48 | 55 | 237930 | 1903440 | 8 | d = -1 |
| 39 | 80 | 1902810 | 15222480 | 8 | d = -1 |
| 17 | 144 | 2085594 | 16684752 | 8 | d = -1 |
| 7 | 24 | 22134 | 177072 | 8 | d = -1 |
| 195 | 748 | 19015731735 | 304251707760 | 16 | d = -1 |

=== Look for pattern in d ===
