[0;31m  ***   Warning: new stack size = 4000000000 (3814.697 Mbytes).[0m
================================================================
Extended rank-2 scan: q = 60/11, |a|,|b| <= 7
================================================================

G1 on E? 1
G2 on E? 1

(a=-7, b=-7): is_sq=0, digits(num)=302
(a=-7, b=-6): is_sq=0, digits(num)=259
(a=-7, b=-5): is_sq=0, digits(num)=229
(a=-7, b=-4): is_sq=0, digits(num)=204
(a=-7, b=-3): is_sq=0, digits(num)=190
(a=-7, b=-2): is_sq=0, digits(num)=183
(a=-7, b=-1): is_sq=0, digits(num)=187
(a=-7, b=0): is_sq=0, digits(num)=197
(a=-7, b=1): is_sq=0, digits(num)=217
(a=-7, b=2): is_sq=0, digits(num)=244
(a=-7, b=3): is_sq=0, digits(num)=282
(a=-7, b=4): is_sq=0, digits(num)=327
(a=-7, b=5): is_sq=0, digits(num)=382
(a=-7, b=6): is_sq=0, digits(num)=445
(a=-7, b=7): is_sq=0, digits(num)=518
(a=-6, b=-7): is_sq=0, digits(num)=265
(a=-6, b=-6): is_sq=0, digits(num)=224
(a=-6, b=-5): is_sq=0, digits(num)=187
(a=-6, b=-4): is_sq=0, digits(num)=164
(a=-6, b=-3): is_sq=0, digits(num)=144
(a=-6, b=-2): is_sq=0, digits(num)=138
(a=-6, b=-1): is_sq=0, digits(num)=136
(a=-6, b=0): is_sq=0, digits(num)=147
(a=-6, b=1): is_sq=0, digits(num)=162
(a=-6, b=2): is_sq=0, digits(num)=190
(a=-6, b=3): is_sq=0, digits(num)=223
(a=-6, b=4): is_sq=0, digits(num)=269
(a=-6, b=5): is_sq=0, digits(num)=319
(a=-6, b=6): is_sq=0, digits(num)=382
(a=-6, b=7): is_sq=0, digits(num)=450
(a=-5, b=-7): is_sq=0, digits(num)=238
(a=-5, b=-6): is_sq=0, digits(num)=191
(a=-5, b=-5): is_sq=0, digits(num)=156
(a=-5, b=-4): is_sq=0, digits(num)=126
(a=-5, b=-3): is_sq=0, digits(num)=108
(a=-5, b=-2): is_sq=0, digits(num)=96
(a=-5, b=-1): is_sq=0, digits(num)=95
(a=-5, b=0): is_sq=0, digits(num)=101
(a=-5, b=1): is_sq=0, digits(num)=117
(a=-5, b=2): is_sq=0, digits(num)=140
(a=-5, b=3): is_sq=0, digits(num)=174
(a=-5, b=4): is_sq=0, digits(num)=214
(a=-5, b=5): is_sq=0, digits(num)=265
(a=-5, b=6): is_sq=0, digits(num)=323
(a=-5, b=7): is_sq=0, digits(num)=391
(a=-4, b=-7): is_sq=0, digits(num)=216
(a=-4, b=-6): is_sq=0, digits(num)=170
(a=-4, b=-5): is_sq=0, digits(num)=129
(a=-4, b=5): is_sq=0, digits(num)=217
(a=-4, b=6): is_sq=0, digits(num)=276
(a=-4, b=7): is_sq=0, digits(num)=339
(a=-3, b=-7): is_sq=0, digits(num)=204
(a=-3, b=-6): is_sq=0, digits(num)=153
(a=-3, b=-5): is_sq=0, digits(num)=114
(a=-3, b=5): is_sq=0, digits(num)=180
(a=-3, b=6): is_sq=0, digits(num)=233
(a=-3, b=7): is_sq=0, digits(num)=297
(a=-2, b=-7): is_sq=0, digits(num)=199
(a=-2, b=-6): is_sq=0, digits(num)=149
