# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n tag
2 1 1 3 1 1 0 3 3 3 3 2 5 3 1 0 1 2 1 2 1 1 0 1 0 R0
3 2 1 5 1 1 2 1 5 5 5 6 13 5 1 1 0 0 2 3 2 1 1 1 1 R0
4 1 1 5 3 1 2 1 5 5 5 4 17 15 1 0 1 1 1 0 1 1 0 2 0 R0
5 4 1 9 1 1 0 1 3 9 9 20 41 9 0 1 0 2 1 1 0 1 1 1 2 R0
6 1 1 7 5 1 1 3 1 7 7 6 37 35 1 0 1 0 1 2 1 2 0 2 0 R0
7 2 1 9 5 1 0 1 3 9 9 14 53 45 0 1 0 1 2 3 2 1 1 1 1 R0
7 4 1 11 3 1 2 3 5 11 11 28 65 33 1 1 0 1 1 3 0 1 1 1 2 R0
8 1 1 9 7 1 0 1 3 9 9 8 65 63 0 0 1 2 1 0 1 1 0 3 0 R0
8 7 1 15 1 1 0 3 3 3 15 56 113 15 0 0 1 2 1 0 3 1 1 3 1 R0
9 2 1 11 7 1 2 3 5 11 11 18 85 77 1 1 0 0 2 1 2 1 1 2 1 R0
9 4 1 13 5 1 1 1 1 1 13 36 97 65 1 1 0 0 1 1 0 1 1 2 2 R0
10 7 1 17 3 1 2 1 5 5 17 70 149 51 1 0 1 1 1 2 3 2 1 2 1 R0
10 9 1 19 1 1 1 3 1 7 19 90 181 19 1 0 1 1 0 2 1 2 1 2 2 R0
11 4 1 15 7 1 0 3 3 3 15 44 137 105 0 1 0 2 1 3 0 1 1 1 2 R0
11 10 1 21 1 1 0 1 3 9 21 110 221 21 0 1 0 2 1 3 2 1 2 1 2 R0
12 1 1 13 11 1 1 1 1 1 13 12 145 143 1 0 1 0 1 0 1 2 0 3 0 R0
12 5 1 17 7 1 2 1 5 5 17 60 169 119 1 0 1 0 2 0 1 2 1 3 1 R0
13 6 1 19 7 1 1 3 1 7 19 78 205 133 1 1 0 1 0 1 2 1 2 1 2 R0
14 9 1 23 5 1 2 3 5 11 23 126 277 115 1 0 1 2 0 2 1 2 1 2 2 R0
14 11 1 25 3 1 1 1 1 1 1 154 317 75 0 0 1 2 2 2 3 2 1 2 1 R0
15 2 1 17 13 1 2 1 5 5 17 30 229 221 1 1 0 0 2 3 2 2 1 2 1 R0
16 1 1 17 15 1 2 1 5 5 17 16 257 255 1 0 1 1 1 0 1 1 0 4 0 R0
16 7 1 23 9 1 2 3 5 11 23 112 305 207 1 0 1 1 1 0 3 1 1 4 1 R0
16 9 1 25 7 1 1 1 1 1 1 144 337 175 0 0 1 1 0 0 1 1 1 4 2 R0
17 2 1 19 15 1 1 3 1 7 19 34 293 285 1 1 0 2 2 1 2 1 1 1 1 R0
17 4 1 21 13 1 0 1 3 9 21 68 305 273 0 1 0 2 1 1 0 1 1 1 2 R0
17 6 1 23 11 1 2 3 5 11 23 102 325 253 1 1 0 2 0 1 2 1 2 1 2 R0
17 12 1 29 5 1 2 1 5 5 5 204 433 145 1 1 0 2 0 1 0 1 2 1 3 R0
17 14 1 31 3 1 1 3 1 7 7 238 485 93 1 1 0 2 2 1 2 1 2 1 2 R0
18 5 1 23 13 1 2 3 5 11 23 90 349 299 1 0 1 0 2 2 1 2 1 3 1 R0
18 11 1 29 7 1 2 1 5 5 5 198 445 203 1 0 1 0 2 2 3 2 1 3 1 R0
18 17 1 35 1 1 2 3 5 11 11 306 613 35 0 0 1 0 2 2 1 2 1 3 1 R0
19 6 1 25 13 1 1 1 1 1 1 114 397 325 0 1 0 1 0 3 2 1 2 1 2 R0
19 8 1 27 11 1 0 3 3 3 3 152 425 297 0 1 0 1 2 3 0 1 1 1 3 R0
19 14 1 33 5 1 0 1 3 9 9 266 557 165 0 1 0 1 2 3 2 1 2 1 2 R0
19 18 1 37 1 1 1 1 1 1 13 342 685 37 1 1 0 1 0 3 2 1 2 1 3 R0
20 1 1 21 19 1 0 1 3 9 21 20 401 399 0 0 1 2 1 0 1 2 0 3 0 R0
20 9 1 29 11 1 2 1 5 5 5 180 481 319 1 0 1 2 0 0 1 2 1 3 2 R0
20 11 1 31 9 1 1 3 1 7 7 220 521 279 1 0 1 2 2 0 3 2 1 3 1 R0
20 13 1 33 7 1 0 1 3 9 9 260 569 231 0 0 1 2 1 0 1 2 1 3 1 R0
20 17 1 37 3 1 1 1 1 1 13 340 689 111 1 0 1 2 2 0 1 2 1 3 1 R0
21 4 1 25 17 1 1 1 1 1 1 84 457 425 0 1 0 0 1 1 0 2 1 2 2 R0
21 20 1 41 1 1 2 1 5 5 17 420 841 41 1 1 0 0 2 1 0 2 2 2 3 R0
22 5 1 27 17 1 0 3 3 3 3 110 509 459 0 0 1 1 2 2 1 2 1 2 1 R0
22 7 1 29 15 1 2 1 5 5 5 154 533 435 1 0 1 1 1 2 3 2 1 2 1 R0
22 9 1 31 13 1 1 3 1 7 7 198 565 403 1 0 1 1 0 2 1 2 1 2 2 R0
22 19 1 41 3 1 2 1 5 5 17 418 845 123 1 0 1 1 1 2 3 2 1 2 1 R0
23 6 1 29 17 1 2 1 5 5 5 138 565 493 1 1 0 2 0 3 2 1 2 1 2 R0
23 8 1 31 15 1 1 3 1 7 7 184 593 465 1 1 0 2 2 3 0 1 1 1 3 R0
23 10 1 33 13 1 0 1 3 9 9 230 629 429 0 1 0 2 1 3 2 1 2 1 2 R0
23 12 1 35 11 1 2 3 5 11 11 276 673 385 0 1 0 2 0 3 0 1 2 1 3 R0
23 20 1 43 3 1 1 3 1 7 19 460 929 129 1 1 0 2 2 3 0 1 2 1 3 R0
24 11 1 35 13 1 2 3 5 11 11 264 697 455 0 0 1 0 2 0 3 2 1 4 1 R0
24 19 1 43 5 1 1 3 1 7 19 456 937 215 1 0 1 0 1 0 3 2 1 4 1 R0
25 6 1 31 19 1 1 3 1 7 7 150 661 589 1 1 0 1 0 1 2 1 2 2 2 R0
25 8 1 33 17 1 0 1 3 9 9 200 689 561 0 1 0 1 2 1 0 1 1 2 3 R0
25 18 1 43 7 1 1 3 1 7 19 450 949 301 1 1 0 1 0 1 2 1 2 2 3 R0
25 22 1 47 3 1 2 3 5 11 23 550 1109 141 1 1 0 1 1 1 2 1 2 2 2 R0
25 24 1 49 1 1 1 1 1 1 1 600 1201 49 0 1 0 1 0 1 0 1 2 2 4 R0
26 3 1 29 23 1 2 1 5 5 5 78 685 667 1 0 1 2 0 2 3 2 1 2 1 R0
26 7 1 33 19 1 0 1 3 9 9 182 725 627 0 0 1 2 1 2 3 2 1 2 1 R0
26 9 1 35 17 1 2 3 5 11 11 234 757 595 0 0 1 2 0 2 1 2 1 2 2 R0
26 15 1 41 11 1 2 1 5 5 17 390 901 451 1 0 1 2 0 2 3 2 2 2 2 R0
26 17 1 43 9 1 1 3 1 7 19 442 965 387 1 0 1 2 2 2 1 2 1 2 1 R0
27 8 1 35 19 1 2 3 5 11 11 216 793 665 0 1 0 0 2 3 0 1 1 3 3 R0
27 10 1 37 17 1 1 1 1 1 13 270 829 629 1 1 0 0 1 3 2 1 2 3 2 R0
27 14 1 41 13 1 2 1 5 5 17 378 925 533 1 1 0 0 2 3 2 1 2 3 2 R0
