# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 omega(m) omega(n) Omega(m) Omega(n) reason cond N_EPCP disc_E w n_badp
linereason cond_listed 
# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n reason cond_listed N_EPCP w n_badp
line
# m n gcd s d s%2 s%3 s%4 s%6 s%12 s%24 m*n m^2+n^2 m^2-n^2 sp m%2 n%2 m%3 n%3 m%4 n%4 om_m om_n big_m big_n reason cond_listed N_EPCP w n_badp
22 17 1 39 5 1 0 3 3 3 15 374 773 195 0 0 1 1 2 2 1 2 1 2 1 RANK_GEQ_3 19015731735 19015731735 -1 9
35 22 1 57 13 1 0 1 3 9 9 770 1709 741 0 1 0 2 1 3 2 2 2 2 2 RANK_GEQ_3 519937332915 519937332915 -1 9
37 26 1 63 11 1 0 3 3 3 15 962 2045 693 0 1 0 1 2 1 2 1 2 1 2 RANK_GEQ_3 357947086497 357947086497 -1 7
40 29 1 69 11 1 0 1 3 9 21 1160 2441 759 0 0 1 1 2 0 1 2 1 4 1 RANK_GEQ_3 1057918875090 1057918875090 -1 9
40 33 1 73 7 1 1 1 1 1 1 1320 2689 511 1 0 1 1 0 0 1 2 2 4 2 RANK_GEQ_3 1131250813770 1131250813770 -1 9
41 18 1 59 23 1 2 3 5 11 11 738 2005 1357 1 1 0 2 0 1 2 1 2 1 3 RANK_GEQ_3 56270204697 56270204697 -1 7
44 9 1 53 35 1 2 1 5 5 5 396 2017 1855 1 0 1 2 0 0 1 2 1 3 2 RANK_GEQ_3 344488759230 344488759230 -1 8
53 32 1 85 21 1 1 1 1 1 13 1696 3833 1785 0 1 0 2 2 1 0 1 1 1 5 RANK_GEQ_3 1574121053190 1574121053190 -1 9
59 40 1 99 19 1 0 3 3 3 3 2360 5081 1881 0 1 0 2 1 3 0 1 2 1 4 RANK_GEQ_3 6932576613270 6932576613270 -1 11
60 43 1 103 17 1 1 3 1 7 7 2580 5449 1751 1 0 1 0 1 0 3 3 1 4 1 RANK_GEQ_3 53216186625210 53216186625210 -1 9
61 38 1 99 23 1 0 3 3 3 3 2318 5165 2277 0 1 0 1 2 1 2 1 2 1 2 RANK_GEQ_3 14345632782327 14345632782327 -1 9
