# label m n q_num q_den ef_lo ef_up eg_lo eg_up fg_lo fg_up Hp_lo Hp_up Xm_lo Xm_up sum_lo sum_up
R4 99 28 5544 9017 4 4 2 2 1 3 1 1 1 1 9 11
R4 118 25 5900 13299 4 4 1 1 0 2 2 2 0 2 7 11
R4 174 83 28884 23387 4 4 0 2 0 0 1 1 1 3 6 10
R4 176 63 22176 27007 4 4 1 1 1 3 2 2 1 3 9 13
R4 181 38 13756 31317 4 4 1 1 1 1 2 2 1 1 9 9
R4 205 66 27060 37669 4 4 0 4 1 1 1 1 0 0 6 10
R4 209 72 30096 38497 4 4 0 2 1 3 1 1 1 1 7 11
R4 216 185 79920 12431 4 4 0 2 0 2 3 3 0 4 7 15
R4 221 202 89284 8037 4 4 0 2 0 0 3 3 1 1 8 10
R4 261 52 27144 65417 2 4 0 4 1 3 2 2 0 2 5 15
R4 273 86 46956 67133 2 4 1 1 1 1 2 2 0 2 6 10
R4 578 319 368764 232323 2 4 1 1 2 2 2 2 0 2 7 11
R3 341 208 141856 73017 3 3 1 1 0 2 3 3 0 0 7 9
R3 359 138 99084 109837 1 3 1 1 1 1 1 1 1 1 5 7
R3 366 107 78324 122507 3 3 0 2 0 0 1 1 1 1 5 7
R3 391 248 193936 91377 3 3 1 1 0 2 1 1 0 2 5 9
R3 413 214 176764 124773 1 3 1 1 1 1 2 4 1 1 6 10
R3 442 229 202436 142923 3 3 0 0 0 0 2 2 1 1 6 6
R3 451 152 137104 180297 3 3 1 1 0 2 2 2 0 0 6 8
R3 451 214 193028 157605 1 3 0 2 1 1 1 1 1 1 4 8
R3 457 154 140756 185133 1 3 1 1 0 2 2 2 1 1 5 9
R3 462 71 65604 208403 1 3 1 1 1 3 1 1 1 1 5 9
R3 464 65 60320 211071 3 3 0 2 0 0 1 3 0 2 4 10
R3 502 341 342364 135723 1 3 0 2 1 1 1 3 1 1 4 10
R3 506 47 47564 253827 1 3 1 1 0 0 2 2 0 0 4 6
R3 506 313 316756 158067 1 3 1 1 0 2 1 1 1 1 4 8
R3 526 319 335588 174915 3 3 1 1 0 2 1 1 1 1 6 8
R3 538 279 300204 211603 1 3 1 1 1 1 2 2 0 0 5 7
R3 541 306 331092 199045 1 3 0 0 1 1 1 3 1 1 4 8
R3 562 483 542892 82555 1 3 1 1 0 2 1 3 1 1 4 10
R3 581 362 420644 206517 1 3 0 2 1 1 1 3 0 2 3 11
R3 589 316 372248 247065 1 5 1 1 0 2 1 3 0 2 3 13
R3 592 539 638176 59943 3 3 1 1 0 0 1 1 0 0 5 5
R3 629 398 500684 237237 1 3 0 2 2 2 2 2 1 1 6 10
R3 737 574 846076 213693 1 3 1 3 1 1 2 2 0 0 5 9
R3 778 531 826236 323323 1 3 1 1 1 3 2 2 1 1 6 10
R3 816 497 811104 418847 3 3 3 3 1 3 2 2 1 1 10 12
R3 834 361 602148 565235 1 3 1 1 0 0 1 3 0 0 3 7
R3 851 334 568468 612645 1 3 0 0 1 1 0 2 1 1 3 7
R3 869 442 768196 559797 1 3 1 1 0 0 1 1 1 1 4 6
R3 892 551 982984 492063 1 3 0 0 1 1 2 2 0 2 4 8
R3 899 158 284084 783237 3 3 0 4 1 1 2 2 1 1 7 11
R3 928 623 1156288 473055 3 3 0 0 2 2 2 2 0 2 7 9
R3 943 206 388516 846813 3 3 0 2 1 1 3 3 0 0 7 9
R3 974 259 504532 881595 1 3 0 0 1 3 2 2 1 1 5 9
R3 988 251 495976 913143 1 3 1 1 0 0 2 2 1 3 5 9
R3 988 321 634296 873103 1 3 1 1 1 1 1 1 0 0 4 6
