[0;31m  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).[0m
=== Promote uncertain X-/E_Hm ranks ===

(118,25) cond=2316635661588117870 log10(cond)=18 eff6=[0,2] t6=3.1900000000000000000000000000000000000s eff10=[0,2] t10=16.122000000000000000000000000000000000s
(216,185) cond=6955849118358044255190 log10(cond)=22 eff6=[0,4] t6=7.3700000000000000000000000000000000000s eff10=[2,4] t10=29.784000000000000000000000000000000000s
(261,52) cond=1060772632147486147890 log10(cond)=21 eff6=[0,2] t6=3.1860000000000000000000000000000000000s eff10=[0,2] t10=13.634000000000000000000000000000000000s
(273,86) cond=59448919640369957167470 log10(cond)=23 eff6=[0,2] t6=4.0010000000000000000000000000000000000s eff10=[0,2] t10=15.686000000000000000000000000000000000s
(578,319) cond=90069158349754148549654670 log10(cond)=26 eff6=[0,2] t6=5.3290000000000000000000000000000000000s eff10=[0,2] t10=29.583000000000000000000000000000000000s
(391,248) cond=4632056213681450361818010 log10(cond)=25 eff6=[0,2] t6=4.4660000000000000000000000000000000000s eff10=[0,2] t10=28.867000000000000000000000000000000000s
(464,65) cond=310723283302453112235690 log10(cond)=23 eff6=[2,2] t6=6.3960000000000000000000000000000000000s PROVEN rank 2
(581,362) cond=2733366736648140700722980190 log10(cond)=27 eff6=[0,2] t6=5.0010000000000000000000000000000000000s eff10=[0,2] t10=28.728000000000000000000000000000000000s
(589,316) cond=796397645069786997608042490 log10(cond)=27 eff6=[0,2] t6=4.8330000000000000000000000000000000000s eff10=[0,2] t10=26.624000000000000000000000000000000000s
(892,551) cond=13750832659169593322615550270 log10(cond)=28 eff6=[0,2] t6=4.4650000000000000000000000000000000000s eff10=[0,2] t10=25.343000000000000000000000000000000000s
(928,623) cond=23772797454854420869198692390 log10(cond)=28 eff6=[0,2] t6=6.4060000000000000000000000000000000000s eff10=[0,2] t10=36.626000000000000000000000000000000000s

=== Summary ===
(118,25) rank=[0,2] (AMBIG)
(216,185) rank=[2,4] (AMBIG)
(261,52) rank=[0,2] (AMBIG)
(273,86) rank=[0,2] (AMBIG)
(578,319) rank=[0,2] (AMBIG)
(391,248) rank=[0,2] (AMBIG)
(464,65) rank=[2,2] (eff6)
(581,362) rank=[0,2] (AMBIG)
(589,316) rank=[0,2] (AMBIG)
(892,551) rank=[0,2] (AMBIG)
(928,623) rank=[0,2] (AMBIG)
