[0;31m  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).[0m
=== Upgrade ellrank effort on uncertain (X-, E_Hm) factors ===
(118,25) cond=2316635661588117870 → eff6: [0,2]  t=3.1560000000000000000000000000000000000s
(216,185) cond=6955849118358044255190 → eff6: [2,4]  t=7.4730000000000000000000000000000000000s
(261,52) cond=1060772632147486147890 → eff6: [0,2]  t=3.5180000000000000000000000000000000000s
(273,86) cond=59448919640369957167470 → eff6: [0,2]  t=3.7430000000000000000000000000000000000s
(578,319) cond=90069158349754148549654670 → eff6: [0,2]  t=5.2720000000000000000000000000000000000s
(391,248) cond=4632056213681450361818010 → eff6: [0,2]  t=6.2910000000000000000000000000000000000s
(464,65) cond=310723283302453112235690 → eff6: [2,2]  t=6.0800000000000000000000000000000000000s
(581,362) cond=2733366736648140700722980190 → eff6: [0,2]  t=5.3600000000000000000000000000000000000s
(589,316) cond=796397645069786997608042490 → eff6: [0,2]  t=4.7970000000000000000000000000000000000s
(892,551) cond=13750832659169593322615550270 → eff6: [0,2]  t=3.4530000000000000000000000000000000000s
(928,623) cond=23772797454854420869198692390 → eff6: [0,2]  t=6.9130000000000000000000000000000000000s
