# m  n  q  status  tors_order  n_hits
2 1 3/4 CLOSED_RANK0 8 0
3 2 5/12 CLOSED_RANK0 8 0
4 1 15/8 CLOSED_RANK0 8 0
5 4 9/40 CLOSED_RANK0 8 0
6 1 35/12 CLOSED_RANK0 8 0
7 2 45/28 CLOSED_RANK0 8 0
7 4 33/56 CLOSED_RANK0 8 0
8 1 63/16 CLOSED_RANK0 8 0
8 7 15/112 CLOSED_RANK0 8 0
9 2 77/36 CLOSED_RANK0 8 0
9 4 65/72 CLOSED_RANK0 8 0
10 7 51/140 CLOSED_RANK0 8 0
10 9 19/180 CLOSED_RANK0 8 0
11 4 105/88 CLOSED_RANK0 8 0
11 10 21/220 CLOSED_RANK0 8 0
12 1 143/24 CLOSED_RANK0 8 0
12 5 119/120 CLOSED_RANK0 8 0
13 6 133/156 CLOSED_RANK0 8 0
14 9 115/252 CLOSED_RANK0 8 0
14 11 75/308 CLOSED_RANK0 8 0
15 2 221/60 CLOSED_RANK0 8 0
16 1 255/32 CLOSED_RANK0 8 0
16 7 207/224 CLOSED_RANK0 8 0
16 9 175/288 CLOSED_RANK0 8 0
17 2 285/68 CLOSED_RANK0 8 0
17 4 273/136 CLOSED_RANK0 8 0
17 6 253/204 CLOSED_RANK0 8 0
17 12 145/408 CLOSED_RANK0 8 0
17 14 93/476 CLOSED_RANK0 8 0
18 5 299/180 CLOSED_RANK0 8 0
18 11 203/396 CLOSED_RANK0 8 0
18 17 35/612 CLOSED_RANK0 8 0
19 6 325/228 CLOSED_RANK0 8 0
19 8 297/304 CLOSED_RANK0 8 0
19 14 165/532 CLOSED_RANK0 8 0
19 18 37/684 CLOSED_RANK0 8 0
20 1 399/40 CLOSED_RANK0 8 0
20 9 319/360 CLOSED_RANK0 8 0
20 11 279/440 CLOSED_RANK0 8 0
20 13 231/520 CLOSED_RANK0 8 0
20 17 111/680 CLOSED_RANK0 8 0
21 4 425/168 CLOSED_RANK0 8 0
21 20 41/840 CLOSED_RANK0 8 0
22 5 459/220 CLOSED_RANK0 8 0
22 7 435/308 CLOSED_RANK0 8 0
22 9 403/396 CLOSED_RANK0 8 0
22 19 123/836 CLOSED_RANK0 8 0
23 6 493/276 CLOSED_RANK0 8 0
23 8 465/368 CLOSED_RANK0 8 0
23 10 429/460 CLOSED_RANK0 8 0
23 12 385/552 CLOSED_RANK0 8 0
23 20 129/920 CLOSED_RANK0 8 0
24 11 455/528 CLOSED_RANK0 8 0
24 19 215/912 CLOSED_RANK0 8 0
25 6 589/300 CLOSED_RANK0 8 0
25 8 561/400 CLOSED_RANK0 8 0
25 18 301/900 CLOSED_RANK0 8 0
25 22 141/1100 CLOSED_RANK0 8 0
