# m  n  q  status  scan_window  n_hits
38 35 219/2660 HARD_NO_GEN_R1_PERSIST 0 0
52 49 303/5096 HARD_NO_GEN_R1_PERSIST 0 0
53 26 2133/2756 CLOSED_RANK1_PASS2 12 0
54 47 707/5076 CLOSED_RANK1_PASS2 12 0
54 49 515/5292 HARD_NO_GEN_R1_PERSIST 0 0
58 51 763/5916 CLOSED_RANK1_PASS2 12 0
59 50 981/5900 HARD_NO_GEN_R1_PERSIST 0 0
61 40 2121/4880 HARD_NO_GEN_R1_PERSIST 0 0
62 1 3843/124 HARD_NO_GEN_R1_PERSIST 0 0
62 15 3619/1860 CLOSED_RANK1_PASS2 12 0
67 4 4473/536 HARD_NO_GEN_R1_PERSIST 0 0
67 16 4233/2144 HARD_NO_GEN_R1_PERSIST 0 0
67 28 3705/3752 CLOSED_RANK1_PASS2 12 0
67 42 2725/5628 HARD_NO_GEN_R1_PERSIST 0 0
68 29 3783/3944 HARD_NO_GEN_R1_PERSIST 0 0
68 37 3255/5032 HARD_NO_GEN_R1_PERSIST 0 0
70 31 3939/4340 CLOSED_RANK1_PASS2 12 0
71 28 4257/3976 CLOSED_RANK1_PASS2 12 0
71 30 4141/4260 HARD_NO_GEN_R1_PERSIST 0 0
71 36 3745/5112 CLOSED_RANK1_PASS2 12 0
71 42 3277/5964 HARD_NO_GEN_R1_PERSIST 0 0
73 40 3729/5840 HARD_NO_GEN_R1_PERSIST 0 0
73 54 2413/7884 CLOSED_RANK1_PASS2 12 0
74 63 1507/9324 HARD_NO_GEN_R1_PERSIST 0 0
74 73 147/10804 HARD_NO_GEN_R1_PERSIST 0 0
76 7 5727/1064 HARD_NO_GEN_R1_PERSIST 0 0
76 13 5607/1976 CLOSED_RANK1_PASS2 12 0
76 29 4935/4408 HARD_NO_GEN_R1_PERSIST 0 0
76 35 4551/5320 CLOSED_RANK1_PASS2 12 0
77 10 5829/1540 CLOSED_RANK1_PASS2 12 0
78 5 6059/780 HARD_NO_GEN_R1_PERSIST 0 0
78 7 6035/1092 HARD_NO_GEN_R1_PERSIST 0 0
79 10 6141/1580 CLOSED_RANK1_PASS2 12 0
79 12 6097/1896 HARD_NO_GEN_R1_PERSIST 0 0
79 30 5341/4740 HARD_NO_GEN_R1_PERSIST 0 0
79 44 4305/6952 HARD_NO_GEN_R1_PERSIST 0 0
79 58 2877/9164 HARD_NO_GEN_R1_PERSIST 0 0
79 60 2641/9480 CLOSED_RANK1_PASS2 12 0
79 70 1341/11060 HARD_NO_GEN_R1_PERSIST 0 0
79 78 157/12324 HARD_NO_GEN_R1_PERSIST 0 0
81 28 5777/4536 HARD_NO_GEN_R1_PERSIST 0 0
81 50 4061/8100 HARD_NO_GEN_R1_PERSIST 0 0
81 80 161/12960 HARD_NO_GEN_R1_PERSIST 0 0
82 19 6363/3116 HARD_NO_GEN_R1_PERSIST 0 0
82 23 6195/3772 HARD_NO_GEN_R1_PERSIST 0 0
82 31 5763/5084 HARD_NO_GEN_R1_PERSIST 0 0
82 81 163/13284 HARD_NO_GEN_R1_PERSIST 0 0
83 4 6873/664 HARD_NO_GEN_R1_PERSIST 0 0
83 66 2533/10956 CLOSED_RANK1_PASS2 12 0
83 68 2265/11288 CLOSED_RANK1_PASS2 12 0
83 74 1413/12284 CLOSED_RANK1_PASS2 12 0
84 43 5207/7224 HARD_NO_GEN_R1_PERSIST 0 0
85 46 5109/7820 HARD_NO_GEN_R1_PERSIST 0 0
86 25 6771/4300 HARD_NO_GEN_R1_PERSIST 0 0
86 51 4795/8772 HARD_NO_GEN_R1_PERSIST 0 0
86 53 4587/9116 HARD_NO_GEN_R1_PERSIST 0 0
86 81 835/13932 HARD_NO_GEN_R1_PERSIST 0 0
87 70 2669/12180 HARD_NO_GEN_R1_PERSIST 0 0
87 86 173/14964 HARD_NO_GEN_R1_PERSIST 0 0
88 51 5143/8976 CLOSED_RANK1_PASS2 12 0
88 71 2703/12496 HARD_NO_GEN_R1_PERSIST 0 0
89 14 7725/2492 CLOSED_RANK1_PASS2 12 0
89 18 7597/3204 CLOSED_RANK1_PASS2 12 0
89 20 7521/3560 HARD_NO_GEN_R1_PERSIST 0 0
90 47 5891/8460 CLOSED_RANK1_PASS2 12 0
90 67 3611/12060 HARD_NO_GEN_R1_PERSIST 0 0
91 38 6837/6916 CLOSED_RANK1_PASS2 12 0
91 68 3657/12376 HARD_NO_GEN_R1_PERSIST 0 0
91 82 1557/14924 CLOSED_RANK1_PASS2 12 0
92 19 8103/3496 HARD_NO_GEN_R1_PERSIST 0 0
92 21 8023/3864 CLOSED_RANK1_PASS2 12 0
92 39 6943/7176 HARD_NO_GEN_R1_PERSIST 0 0
92 47 6255/8648 HARD_NO_GEN_R1_PERSIST 0 0
92 61 4743/11224 HARD_NO_GEN_R1_PERSIST 0 0
92 81 1903/14904 HARD_NO_GEN_R1_PERSIST 0 0
92 83 1575/15272 CLOSED_RANK1_PASS2 12 0
93 56 5513/10416 CLOSED_RANK1_PASS2 12 0
93 68 4025/12648 HARD_NO_GEN_R1_PERSIST 0 0
94 1 8835/188 CLOSED_RANK1_PASS2 12 0
94 17 8547/3196 HARD_NO_GEN_R1_PERSIST 0 0
94 19 8475/3572 HARD_NO_GEN_R1_PERSIST 0 0
94 21 8395/3948 HARD_NO_GEN_R1_PERSIST 0 0
94 25 8211/4700 HARD_NO_GEN_R1_PERSIST 0 0
94 37 7467/6956 HARD_NO_GEN_R1_PERSIST 0 0
94 51 6235/9588 CLOSED_RANK1_PASS2 12 0
94 91 555/17108 CLOSED_RANK1_PASS2 12 0
95 68 4401/12920 HARD_NO_GEN_R1_PERSIST 0 0
95 78 2941/14820 CLOSED_RANK1_PASS2 12 0
97 4 9393/776 HARD_NO_GEN_R1_PERSIST 0 0
97 10 9309/1940 CLOSED_RANK1_PASS2 12 0
98 3 9595/588 HARD_NO_GEN_R1_PERSIST 0 0
98 9 9523/1764 HARD_NO_GEN_R1_PERSIST 0 0
99 2 9797/396 CLOSED_RANK1_PASS2 12 0
99 14 9605/2772 HARD_NO_GEN_R1_PERSIST 0 0
100 53 7191/10600 HARD_NO_GEN_R1_PERSIST 0 0
100 59 6519/11800 HARD_NO_GEN_R1_PERSIST 0 0
100 67 5511/13400 HARD_NO_GEN_R1_PERSIST 0 0
100 71 4959/14200 CLOSED_RANK1_PASS2 12 0
100 99 199/19800 HARD_NO_GEN_R1_PERSIST 0 0
