# m  n  q  status  scan_window  n_hits
4 3 7/24 CLOSED_RANK1 12 0
5 2 21/20 CLOSED_RANK1 12 0
7 6 13/84 CLOSED_RANK1 12 0
8 3 55/48 CLOSED_RANK1 12 0
8 5 39/80 CLOSED_RANK1 12 0
10 1 99/20 CLOSED_RANK1 12 0
10 3 91/60 CLOSED_RANK1 12 0
11 2 117/44 CLOSED_RANK1 12 0
11 6 85/132 CLOSED_RANK1 12 0
11 8 57/176 CLOSED_RANK1 12 0
12 7 95/168 CLOSED_RANK1 12 0
12 11 23/264 CLOSED_RANK1 12 0
13 8 105/208 CLOSED_RANK1 12 0
13 10 69/260 CLOSED_RANK1 12 0
13 12 25/312 CLOSED_RANK1 12 0
14 1 195/28 CLOSED_RANK1 12 0
14 3 187/84 CLOSED_RANK1 12 0
14 5 171/140 CLOSED_RANK1 12 0
15 4 209/120 CLOSED_RANK1 12 0
15 8 161/240 CLOSED_RANK1 12 0
15 14 29/420 CLOSED_RANK1 12 0
16 3 247/96 CLOSED_RANK1 12 0
16 5 231/160 CLOSED_RANK1 12 0
16 11 135/352 CLOSED_RANK1 12 0
16 13 87/416 CLOSED_RANK1 12 0
16 15 31/480 CLOSED_RANK1 12 0
17 8 225/272 CLOSED_RANK1 12 0
17 10 189/340 CLOSED_RANK1 12 0
17 16 33/544 CLOSED_RANK1 12 0
18 1 323/36 CLOSED_RANK1 12 0
18 13 155/468 CLOSED_RANK1 12 0
19 2 357/76 CLOSED_RANK1 12 0
19 4 345/152 CLOSED_RANK1 12 0
19 10 261/380 CLOSED_RANK1 12 0
19 12 217/456 CLOSED_RANK1 12 0
20 3 391/120 CLOSED_RANK1 12 0
20 19 39/760 CLOSED_RANK1 12 0
21 2 437/84 CLOSED_RANK1 12 0
21 8 377/336 CLOSED_RANK1 12 0
21 10 341/420 CLOSED_RANK1 12 0
21 16 185/672 CLOSED_RANK1 12 0
22 3 475/132 CLOSED_RANK1 12 0
22 13 315/572 CLOSED_RANK1 12 0
22 15 259/660 CLOSED_RANK1 12 0
23 2 525/92 CLOSED_RANK1 12 0
23 4 513/184 CLOSED_RANK1 12 0
23 16 273/736 CLOSED_RANK1 12 0
23 18 205/828 CLOSED_RANK1 12 0
23 22 45/1012 CLOSED_RANK1 12 0
24 1 575/48 CLOSED_RANK1 12 0
24 5 551/240 CLOSED_RANK1 12 0
24 23 47/1104 CLOSED_RANK1 12 0
25 2 621/100 CLOSED_RANK1 12 0
25 12 481/600 CLOSED_RANK1 12 0
25 14 429/700 CLOSED_RANK1 12 0
25 16 369/800 CLOSED_RANK1 12 0
26 1 675/52 CLOSED_RANK1 12 0
26 5 651/260 CLOSED_RANK1 12 0
26 11 555/572 CLOSED_RANK1 12 0
26 19 315/988 CLOSED_RANK1 12 0
26 21 235/1092 CLOSED_RANK1 12 0
26 23 147/1196 CLOSED_RANK1 12 0
26 25 51/1300 CLOSED_RANK1 12 0
27 20 329/1080 CLOSED_RANK1 12 0
27 22 245/1188 CLOSED_RANK1 12 0
27 26 53/1404 CLOSED_RANK1 12 0
28 1 783/56 CLOSED_RANK1 12 0
28 3 775/168 CLOSED_RANK1 12 0
28 5 759/280 CLOSED_RANK1 12 0
28 9 703/504 CLOSED_RANK1 12 0
28 11 663/616 CLOSED_RANK1 12 0
28 13 615/728 CLOSED_RANK1 12 0
28 19 423/1064 CLOSED_RANK1 12 0
29 2 837/116 CLOSED_RANK1 12 0
29 4 825/232 CLOSED_RANK1 12 0
29 8 777/464 CLOSED_RANK1 12 0
29 10 741/580 CLOSED_RANK1 12 0
29 20 441/1160 CLOSED_RANK1 12 0
29 24 265/1392 CLOSED_RANK1 12 0
29 26 165/1508 CLOSED_RANK1 12 0
29 28 57/1624 CLOSED_RANK1 12 0
30 7 851/420 CLOSED_RANK1 12 0
30 11 779/660 CLOSED_RANK1 12 0
30 29 59/1740 CLOSED_RANK1 12 0
31 4 945/248 CLOSED_RANK1 12 0
