# m  n  q  status  box_size  n_hits
6 5 11/60 CLOSED_RANK2 8 0
9 8 17/144 CLOSED_RANK2 8 0
13 2 165/52 CLOSED_RANK2 8 0
13 4 153/104 CLOSED_RANK2 8 0
14 13 27/364 CLOSED_RANK2 8 0
18 7 275/252 CLOSED_RANK2 8 0
19 16 105/608 CLOSED_RANK2 8 0
20 7 351/280 CLOSED_RANK2 8 0
22 1 483/44 CLOSED_RANK2 8 0
22 21 43/924 CLOSED_RANK2 8 0
23 14 333/644 CLOSED_RANK2 8 0
24 7 527/336 CLOSED_RANK2 8 0
24 13 407/624 CLOSED_RANK2 8 0
24 17 287/816 CLOSED_RANK2 8 0
25 4 609/200 CLOSED_RANK2 8 0
27 2 725/108 CLOSED_RANK2 8 0
27 4 713/216 CLOSED_RANK2 8 0
28 17 495/952 CLOSED_RANK2 8 0
28 27 55/1512 CLOSED_RANK2 8 0
29 6 805/348 CLOSED_RANK2 8 0
29 14 645/812 CLOSED_RANK2 8 0
29 18 517/1044 CLOSED_RANK2 8 0
29 22 357/1276 CLOSED_RANK2 8 0
30 17 611/1020 CLOSED_RANK2 8 0
31 10 861/620 CLOSED_RANK2 8 0
31 26 285/1612 CLOSED_RANK2 8 0
31 30 61/1860 CLOSED_RANK2 8 0
32 15 799/960 CLOSED_RANK2 8 0
32 21 583/1344 CLOSED_RANK2 8 0
32 31 63/1984 CLOSED_RANK2 8 0
33 10 989/660 CLOSED_RANK2 8 0
33 20 689/1320 CLOSED_RANK2 8 0
33 28 305/1848 CLOSED_RANK2 8 0
34 23 627/1564 CLOSED_RANK2 8 0
34 25 531/1700 CLOSED_RANK2 8 0
35 8 1161/560 CLOSED_RANK2 8 0
36 25 671/1800 CLOSED_RANK2 8 0
37 4 1353/296 CLOSED_RANK2 8 0
37 18 1045/1332 CLOSED_RANK2 8 0
37 24 793/1776 CLOSED_RANK2 8 0
37 28 585/2072 CLOSED_RANK2 8 0
37 34 213/2516 CLOSED_RANK2 8 0
38 17 1155/1292 CLOSED_RANK2 8 0
38 25 819/1900 CLOSED_RANK2 8 0
38 27 715/2052 CLOSED_RANK2 8 0
40 11 1479/880 CLOSED_RANK2 8 0
41 14 1485/1148 CLOSED_RANK2 8 0
41 16 1425/1312 CLOSED_RANK2 8 0
41 32 657/2624 CLOSED_RANK2 8 0
42 29 923/2436 CLOSED_RANK2 8 0
42 41 83/3444 CLOSED_RANK2 8 0
43 14 1653/1204 CLOSED_RANK2 8 0
43 26 1173/2236 CLOSED_RANK2 8 0
43 36 553/3096 CLOSED_RANK2 8 0
44 27 1207/2376 CLOSED_RANK2 8 0
44 29 1095/2552 CLOSED_RANK2 8 0
44 35 711/3080 CLOSED_RANK2 8 0
46 9 2035/828 CLOSED_RANK2 8 0
46 11 1995/1012 CLOSED_RANK2 8 0
46 27 1387/2484 CLOSED_RANK2 8 0
47 4 2193/376 CLOSED_RANK2 8 0
47 8 2145/752 CLOSED_RANK2 8 0
47 12 2065/1128 CLOSED_RANK2 8 0
47 18 1885/1692 CLOSED_RANK2 8 0
47 38 765/3572 CLOSED_RANK2 8 0
48 17 2015/1632 CLOSED_RANK2 8 0
48 25 1679/2400 CLOSED_RANK2 8 0
48 41 623/3936 CLOSED_RANK2 8 0
49 16 2145/1568 CLOSED_RANK2 8 0
49 34 1245/3332 CLOSED_RANK2 8 0
49 38 957/3724 CLOSED_RANK2 8 0
50 7 2451/700 CLOSED_RANK2 8 0
50 41 819/4100 CLOSED_RANK2 8 0
51 20 2201/2040 CLOSED_RANK2 8 0
51 28 1817/2856 CLOSED_RANK2 8 0
52 3 2695/312 CLOSED_RANK2 8 0
52 25 2079/2600 CLOSED_RANK2 8 0
52 33 1615/3432 CLOSED_RANK2 8 0
52 41 1023/4264 CLOSED_RANK2 8 0
52 47 495/4888 CLOSED_RANK2 8 0
52 51 103/5304 CLOSED_RANK2 8 0
53 34 1653/3604 CLOSED_RANK2 8 0
53 46 693/4876 CLOSED_RANK2 8 0
54 43 1067/4644 CLOSED_RANK2 8 0
55 8 2961/880 CLOSED_RANK2 8 0
55 12 2881/1320 CLOSED_RANK2 8 0
55 18 2701/1980 CLOSED_RANK2 8 0
55 42 1261/4620 CLOSED_RANK2 8 0
55 48 721/5280 CLOSED_RANK2 8 0
56 11 3015/1232 CLOSED_RANK2 8 0
56 17 2847/1904 CLOSED_RANK2 8 0
56 45 1111/5040 CLOSED_RANK2 8 0
56 53 327/5936 CLOSED_RANK2 8 0
57 44 1313/5016 CLOSED_RANK2 8 0
57 46 1133/5244 CLOSED_RANK2 8 0
57 56 113/6384 CLOSED_RANK2 8 0
58 37 1995/4292 CLOSED_RANK2 8 0
59 8 3417/944 CLOSED_RANK2 8 0
60 11 3479/1320 CLOSED_RANK2 8 0
61 10 3621/1220 CLOSED_RANK2 8 0
61 22 3237/2684 CLOSED_RANK2 8 0
61 30 2821/3660 CLOSED_RANK2 8 0
61 32 2697/3904 CLOSED_RANK2 8 0
61 42 1957/5124 CLOSED_RANK2 8 0
61 56 585/6832 CLOSED_RANK2 8 0
62 29 3003/3596 CLOSED_RANK2 8 0
62 33 2755/4092 CLOSED_RANK2 8 0
62 37 2475/4588 CLOSED_RANK2 8 0
62 39 2323/4836 CLOSED_RANK2 8 0
62 43 1995/5332 CLOSED_RANK2 8 0
62 59 363/7316 CLOSED_RANK2 8 0
