# m  n  cond  lo  up
22 17 19015731735 3 3
35 22 519937332915 3 3
37 26 357947086497 3 3
40 29 1057918875090 3 3
40 33 1131250813770 3 3
41 18 56270204697 3 3
44 9 344488759230 3 3
53 32 1574121053190 3 3
59 40 6932576613270 3 3
60 43 53216186625210 3 3
61 38 14345632782327 3 3
63 38 3334605031905 3 3
64 53 2017512535038 3 3
66 23 15768512274669 3 3
69 22 29461060848219 3 3
71 50 3604391924595 3 3
73 24 3067104744186 3 3
74 33 24681199823049 3 3
77 26 60795884378229 3 3
77 48 2780154602610 3 3
84 19 185036814900210 3 3
84 37 219950942442 3 3
86 47 403027523456649 3 3
88 7 2532242371890 3 3
88 19 133709198035182 3 3
88 35 22848156068430 3 3
88 61 8490545210994 3 3
89 72 229111913054346 3 3
89 80 6958110958890 3 3
91 22 349352024842821 3 3
93 26 387327033201381 3 3
94 77 705233463346797 3 3
95 34 256577723647035 3 3
96 91 155397487335090 3 3
97 60 35100384145890 3 3
97 88 341905067410830 3 3
97 90 4214272596765 3 3
99 28 210668707326462 4 4
