Deep scan up to BOUND = 200000
  scanned 100 candidates, current g=13780
  scanned 200 candidates, current g=21320
  scanned 300 candidates, current g=27880
  scanned 400 candidates, current g=34255
  scanned 500 candidates, current g=39650
  scanned 600 candidates, current g=45385
  scanned 700 candidates, current g=50505
  scanned 800 candidates, current g=55205
  scanned 900 candidates, current g=59943
  scanned 1000 candidates, current g=65190
  scanned 1100 candidates, current g=69589
  scanned 1200 candidates, current g=74210
  scanned 1300 candidates, current g=78625
  scanned 1400 candidates, current g=83005
  scanned 1500 candidates, current g=87165
  scanned 1600 candidates, current g=91405
  scanned 1700 candidates, current g=95845
  scanned 1800 candidates, current g=100470
  scanned 1900 candidates, current g=104295
  scanned 2000 candidates, current g=108173
  scanned 2100 candidates, current g=112285
  scanned 2200 candidates, current g=116025
  scanned 2300 candidates, current g=120020
  scanned 2400 candidates, current g=124100
  scanned 2500 candidates, current g=128330
  scanned 2600 candidates, current g=132205
  scanned 2700 candidates, current g=136085
  scanned 2800 candidates, current g=139730
  scanned 2900 candidates, current g=143463
  scanned 3000 candidates, current g=147010
  scanned 3100 candidates, current g=150540
  scanned 3200 candidates, current g=154309
  scanned 3300 candidates, current g=157781
  scanned 3400 candidates, current g=161530
  scanned 3500 candidates, current g=165325
  scanned 3600 candidates, current g=168961
  scanned 3700 candidates, current g=172325
  scanned 3800 candidates, current g=175825
  scanned 3900 candidates, current g=179105
  scanned 4000 candidates, current g=182715
  scanned 4100 candidates, current g=186303
  scanned 4200 candidates, current g=189890
  scanned 4300 candidates, current g=193695
  scanned 4400 candidates, current g=197290

Final: max_g=199955 candidates=4479 total_pair=6418 total_leg=0 full_PCP=0
