[0;31m  ***   Warning: new stack size = 4000000000 (3814.697 Mbytes).[0m
=== Pick 9 extended: 2-Selmer for m in [19,30] ===

(m, n) | q          | cond           | tors  | sel_bd | rk_lo | rk_hi | chk
-------+------------+----------------+-------+--------+-------+-------+----
(19, 2) | 357/76     | 825307959      | [4, 2] |   3    |   1   |   1   | OK
(19, 4) | 345/152    | 1257524310     | [4, 2] |   3    |   1   |   1   | OK
(19, 6) | 325/228    | 198739905      | [4, 2] |   2    |   0   |   0   | OK
(19, 8) | 297/304    | 5275578        | [4, 2] |   2    |   0   |   0   | OK
(19,10) | 261/380    | 630445935      | [4, 2] |   3    |   1   |   1   | OK
(19,12) | 217/456    | 3979033086     | [4, 2] |   3    |   1   |   1   | OK
(19,14) | 165/532    | 5613509055     | [4, 2] |   2    |   0   |   0   | OK
(19,16) | 105/608    | 1430969610     | [4, 2] |   4    |   2   |   2   | OK
(19,18) | 37/684     | 983821083      | [4, 2] |   2    |   0   |   0   | OK
(20, 1) | 399/40     | 628827990      | [4, 2] |   2    |   0   |   0   | OK
(20, 3) | 391/120    | 1624382130     | [4, 2] |   3    |   1   |   1   | OK
(20, 7) | 351/280    | 122306730      | [4, 2] |   4    |   2   |   2   | OK
(20, 9) | 319/360    | 266419230      | [4, 2] |   2    |   0   |   0   | OK
(20,11) | 279/440    | 1184214570     | [4, 2] |   2    |   0   |   0   | OK
(20,13) | 231/520    | 383393010      | [4, 2] |   2    |   0   |   0   | OK
(20,17) | 111/680    | 8492990730     | [4, 2] |   2    |   0   |   0   | OK
(20,19) | 39/760     | 4268745390     | [4, 2] |   3    |   1   |   1   | OK
(21, 2) | 437/84     | 1687769601     | [4, 2] |   3    |   1   |   1   | OK
(21, 4) | 425/168    | 544071570      | [4, 2] |   2    |   0   |   0   | OK
(21, 8) | 377/336    | 462875322      | [4, 2] |   3    |   1   |   1   | OK
(21,10) | 341/420    | 2152560795     | [4, 2] |   3    |   1   |   1   | OK
(21,16) | 185/672    | 3242879430     | [4, 2] |   3    |   1   |   1   | OK
(21,20) | 41/840     | 6060742590     | [4, 2] |   2    |   0   |   0   | OK
(22, 1) | 483/44     | 1229178489     | [4, 2] |   4    |   2   |   2   | OK
(22, 3) | 475/132    | 13320615       | [4, 2] |   3    |   1   |   1   | OK
(22, 5) | 459/220    | 455198205      | [4, 2] |   2    |   0   |   0   | OK
(22, 7) | 435/308    | 3160621695     | [4, 2] |   2    |   0   |   0   | OK
(22, 9) | 403/396    | 74381307       | [4, 2] |   2    |   0   |   0   | OK
(22,13) | 315/572    | 3422804385     | [4, 2] |   3    |   1   |   1   | OK
(22,15) | 259/660    | 15748659465    | [4, 2] |   3    |   1   |   1   | OK
(22,17) | 195/748    | 19015731735    | [4, 2] |   5    |   3   |   3   | FAIL
(22,19) | 123/836    | 17577598269    | [4, 2] |   2    |   0   |   0   | OK
(22,21) | 43/924     | 8462190891     | [4, 2] |   4    |   2   |   2   | OK
(23, 2) | 525/92     | 645193815      | [4, 2] |   3    |   1   |   1   | OK
(23, 4) | 513/184    | 601258686      | [4, 2] |   3    |   1   |   1   | OK
(23, 6) | 493/276    | 5676518841     | [4, 2] |   2    |   0   |   0   | OK
(23, 8) | 465/368    | 246904770      | [4, 2] |   2    |   0   |   0   | OK
(23,10) | 429/460    | 1359623265     | [4, 2] |   2    |   0   |   0   | OK
(23,12) | 385/552    | 8313729270     | [4, 2] |   2    |   0   |   0   | OK
(23,14) | 333/644    | 5430049737     | [4, 2] |   4    |   2   |   2   | OK
(23,16) | 273/736    | 5866683186     | [4, 2] |   3    |   1   |   1   | OK
(23,18) | 205/828    | 9103142055     | [4, 2] |   3    |   1   |   1   | OK
(23,20) | 129/920    | 24618949530    | [4, 2] |   2    |   0   |   0   | OK
(23,22) | 45/1012    | 3878941605     | [4, 2] |   3    |   1   |   1   | OK
(24, 1) | 575/48     | 226541490      | [4, 2] |   3    |   1   |   1   | OK
(24, 5) | 551/240    | 4066396530     | [4, 2] |   3    |   1   |   1   | OK
(24, 7) | 527/336    | 3648413622     | [4, 2] |   4    |   2   |   2   | OK
(24,11) | 455/528    | 2154922770     | [4, 2] |   2    |   0   |   0   | OK
(24,13) | 407/624    | 7102437342     | [4, 2] |   4    |   2   |   2   | OK
(24,17) | 287/816    | 742652106      | [4, 2] |   4    |   2   |   2   | OK
(24,19) | 215/912    | 2750438670     | [4, 2] |   2    |   0   |   0   | OK
(24,23) | 47/1104    | 7890913002     | [4, 2] |   3    |   1   |   1   | OK
(25, 2) | 621/100    | 129596145      | [4, 2] |   3    |   1   |   1   | OK
(25, 4) | 609/200    | 2015065290     | [4, 2] |   4    |   2   |   2   | OK
(25, 6) | 589/300    | 133523355      | [4, 2] |   2    |   0   |   0   | OK
(25, 8) | 561/400    | 27999510       | [4, 2] |   2    |   0   |   0   | OK
(25,12) | 481/600    | 1856260770     | [4, 2] |   3    |   1   |   1   | OK
(25,14) | 429/700    | 4593974385     | [4, 2] |   3    |   1   |   1   | OK
(25,16) | 369/800    | 619721970      | [4, 2] |   3    |   1   |   1   | OK
(25,18) | 301/900    | 3248086485     | [4, 2] |   2    |   0   |   0   | OK
(25,22) | 141/1100   | 9229372845     | [4, 2] |   2    |   0   |   0   | OK
(25,24) | 49/1200    | 301895790      | [4, 2] |   2    |   0   |   0   | OK
(26, 1) | 675/52     | 88319595       | [4, 2] |   3    |   1   |   1   | OK
(26, 3) | 667/156    | 10939845189    | [4, 2] |   2    |   0   |   0   | OK
(26, 5) | 651/260    | 15072645315    | [4, 2] |   3    |   1   |   1   | OK
(26, 7) | 627/364    | 14870937081    | [4, 2] |   2    |   0   |   0   | OK
(26, 9) | 595/468    | 3132698205     | [4, 2] |   2    |   0   |   0   | OK
(26,11) | 555/572    | 217222005      | [4, 2] |   3    |   1   |   1   | OK
(26,15) | 451/780    | 35617637055    | [4, 2] |   2    |   0   |   0   | OK
(26,17) | 387/884    | 18008764683    | [4, 2] |   2    |   0   |   0   | OK
(26,19) | 315/988    | 22742894265    | [4, 2] |   3    |   1   |   1   | OK
(26,21) | 235/1092   | 72959568045    | [4, 2] |   3    |   1   |   1   | OK
(26,23) | 147/1196   | 8845899153     | [4, 2] |   3    |   1   |   1   | OK
(26,25) | 51/1300    | 5593727685     | [4, 2] |   3    |   1   |   1   | OK
(27, 2) | 725/108    | 31939005       | [4, 2] |   4    |   2   |   2   | OK
(27, 4) | 713/216    | 1975208214     | [4, 2] |   4    |   2   |   2   | OK
(27, 8) | 665/432    | 1019847990     | [4, 2] |   2    |   0   |   0   | OK
(27,10) | 629/540    | 981626835      | [4, 2] |   2    |   0   |   0   | OK
(27,14) | 533/756    | 3217394271     | [4, 2] |   2    |   0   |   0   | OK
(27,16) | 473/864    | 1483612746     | [4, 2] |   2    |   0   |   0   | OK
(27,20) | 329/1080   | 10444029330    | [4, 2] |   3    |   1   |   1   | OK
(27,22) | 245/1188   | 1560773445     | [4, 2] |   3    |   1   |   1   | OK
(27,26) | 53/1404    | 4068697269     | [4, 2] |   3    |   1   |   1   | OK
(28, 1) | 783/56     | 742922754      | [4, 2] |   3    |   1   |   1   | OK
(28, 3) | 775/168    | 3726330510     | [4, 2] |   3    |   1   |   1   | OK
(28, 5) | 759/280    | 26441791530    | [4, 2] |   3    |   1   |   1   | OK
(28, 9) | 703/504    | 7091938518     | [4, 2] |   3    |   1   |   1   | OK
(28,11) | 663/616    | 6137657526     | [4, 2] |   3    |   1   |   1   | OK
(28,13) | 615/728    | 16986384870    | [4, 2] |   3    |   1   |   1   | OK
(28,15) | 559/840    | 46148239410    | [4, 2] |   2    |   0   |   0   | OK
(28,17) | 495/952    | 25968426330    | [4, 2] |   4    |   2   |   2   | OK
(28,19) | 423/1064   | 35749481502    | [4, 2] |   3    |   1   |   1   | OK
(28,23) | 255/1288   | 130876689090   | [4, 2] |   2    |   0   |   0   | OK
(28,25) | 159/1400   | 21533422470    | [4, 2] |   2    |   0   |   0   | OK
(28,27) | 55/1512    | 5274004890     | [4, 2] |   4    |   2   |   2   | OK
(29, 2) | 837/116    | 1853143761     | [4, 2] |   3    |   1   |   1   | OK
(29, 4) | 825/232    | 5998485570     | [4, 2] |   3    |   1   |   1   | OK
(29, 6) | 805/348    | 36902912235    | [4, 2] |   4    |   2   |   2   | OK
(29, 8) | 777/464    | 17505121578    | [4, 2] |   3    |   1   |   1   | OK
(29,10) | 741/580    | 22851510045    | [4, 2] |   3    |   1   |   1   | OK
(29,12) | 697/696    | 168940254      | [4, 2] |   2    |   0   |   0   | OK
(29,14) | 645/812    | 31858973265    | [4, 2] |   4    |   2   |   2   | OK
(29,16) | 585/928    | 119784210      | [4, 2] |   2    |   0   |   0   | OK
(29,18) | 517/1044   | 37001839413    | [4, 2] |   4    |   2   |   2   | OK
(29,20) | 441/1160   | 7010314710     | [4, 2] |   3    |   1   |   1   | OK
(29,22) | 357/1276   | 170907292941   | [4, 2] |   4    |   2   |   2   | OK
(29,24) | 265/1392   | 12301087470    | [4, 2] |   3    |   1   |   1   | OK
(29,26) | 165/1508   | 139764619995   | [4, 2] |   3    |   1   |   1   | OK
(29,28) | 57/1624    | 1486804074     | [4, 2] |   3    |   1   |   1   | OK
(30, 1) | 899/60     | 10850044485    | [4, 2] |   2    |   0   |   0   | OK
(30, 7) | 851/420    | 48948758355    | [4, 2] |   3    |   1   |   1   | OK
(30,11) | 779/660    | 22010461935    | [4, 2] |   3    |   1   |   1   | OK
(30,13) | 731/780    | 1507698465     | [4, 2] |   2    |   0   |   0   | OK
(30,17) | 611/1020   | 103934243595   | [4, 2] |   4    |   2   |   2   | OK
(30,19) | 539/1140   | 22144238655    | [4, 2] |   2    |   0   |   0   | OK
(30,23) | 371/1380   | 226136318205   | [4, 2] |   2    |   0   |   0   | OK
(30,29) | 59/1740    | 1893024735     | [4, 2] |   3    |   1   |   1   | OK

=== Summary (m in [19,30]) ===
Total fibers tested:   117
Max rk_hi observed:    3
Max Sel_2 bound:       5
Violations (rk_hi>2):  1
rk_lo distribution: [45, 53, 18, 1, 0, 0, 0, 0, 0, 0]
Sel_2 distribution: [0, 0, 45, 53, 18, 1, 0, 0, 0, 0]
