[0;31m  ***   Warning: new stack size = 800000000 (762.939 Mbytes).[0m
#### OQ1 control: generic rank-1 fibers ####
GEN_RESULT (4,3) q=7/24 logN=10.0048701668247306320965290442 logHj=37.8935603230991734280442275857 hhat=2.55249819564566797599502294321 R1=0.0673596825920238216767362701640 R2=0.255125569156262262692194543885 F3sq=0
GEN_RESULT (5,2) q=21/20 logN=8.36753241686183117496812068663 logHj=36.2699813458420014370285075643 hhat=2.55297273421814607433677540322 R1=0.0703880354906997884286888813612 R2=0.305104612331530811939061777465 F3sq=0
GEN_RESULT (7,6) q=13/84 logN=14.4468626507296579760002615761 logHj=53.0988360597329262713532794379 hhat=7.12825269224429206047337190029 R1=0.134244989555429162271284641496 R2=0.493411812971328428576573529499 F3sq=0
GEN_RESULT (8,3) q=55/48 logN=12.3797317917454749953491353281 logHj=47.4870141595933236851056378122 hhat=2.06199913816772590232063439539 R1=0.0434223792474676145335674638848 R2=0.166562504976288764550189534773 F3sq=0
GEN_RESULT (8,5) q=39/80 logN=14.4588422989395293006883748675 logHj=51.9846621636763583605485671490 hhat=1.97284361067561979849216244044 R1=0.0379504940219486497574195854716 R2=0.136445475362873016961263593471 F3sq=0
GEN_RESULT (10,1) q=99/20 logN=14.2545168194791314895857810509 logHj=55.0216381286426984962582823912 hhat=2.04511054388658536540953143974 R1=0.0371692049426997891378691662778 R2=0.143471053406166237157995798097 F3sq=0
GEN_RESULT (10,3) q=91/60 logN=15.6701767489191306818802453792 logHj=53.2842602828658705031959181405 hhat=4.63439392826734237884993501107 R1=0.0869749134859920690217830583994 R2=0.295746117132150745064897105700 F3sq=0
GEN_RESULT (11,2) q=117/44 logN=15.4333207250608710965148906891 logHj=56.7577227955693198946539653239 hhat=2.00776825924084222100209792567 R1=0.0353743624717370568123801239633 R2=0.130093082040380088870945067251 F3sq=0
GEN_RESULT (11,6) q=85/132 logN=17.1692037732073148281629505037 logHj=57.7595693736470869422394964101 hhat=2.27164586183197951452852868256 R1=0.0393293420720761510173736479352 R2=0.132309330813401012824393221172 F3sq=0
GEN_RESULT (11,8) q=57/176 logN=17.3642556678700959555405606042 logHj=61.7500367039647813854665921000 hhat=3.04512169824953202859538265054 R1=0.0493136824006780559300357923249 R2=0.175367246169040508920157829012 F3sq=0
GEN_RESULT (12,7) q=95/168 logN=18.1541599832100648207056519886 logHj=60.7517271717974027076621773394 hhat=5.07815306196600246420589676333 R1=0.0835886204124813535165004730458 R2=0.279723934715930078625699384939 F3sq=0
GEN_RESULT (12,11) q=23/264 logN=18.4694281072058513401197012033 logHj=66.8887062125072601567922609784 hhat=6.74064713725180733612898060291 R1=0.100774069628983193432146098857 R2=0.364962417792565131390565302250 F3sq=0
GEN_RESULT (13,8) q=105/208 logN=18.2929890669487944040194445009 logHj=63.4186935898453415825179647181 hhat=4.15696652620049351006727001210 R1=0.0655479684442145421232417193890 R2=0.227243700359017421107223814468 F3sq=0
GEN_RESULT (13,10) q=69/260 logN=19.4568249533048982576324982089 logHj=66.5250489324667936786852182033 hhat=3.55245349797702308495282878245 R1=0.0534002387819859017048474153473 R2=0.182581356747705656732094862561 F3sq=0
GEN_RESULT (13,12) q=25/312 logN=17.4457118852356749449437068043 logHj=68.8968390313538648479098448229 hhat=5.95718790939432778244021266056 R1=0.0864653298053820076954809834656 R2=0.341470038516221423308973598512 F3sq=0
GEN_RESULT (14,1) q=195/28 logN=17.7440752914959339730507007416 logHj=63.2147959759140261288477966954 hhat=5.65001831586047996348712267265 R1=0.0893780993616310733544819812040 R2=0.318417174354998405485613345176 F3sq=0
GEN_RESULT (14,3) q=187/84 logN=18.5124788636873462916775485645 logHj=62.2464405920398417471266872062 hhat=5.95164499551295291499921983865 R1=0.0956142220969668947482991137243 R2=0.321493682144709516137978979236 F3sq=0
GEN_RESULT (14,5) q=171/140 logN=16.7721794459883442112355446355 logHj=60.9507271587402083989999367725 hhat=6.66367559149813552868400563800 R1=0.109328894044910146911993121338 R2=0.397305288376937058630628738833 F3sq=0
GEN_RESULT (15,4) q=209/120 logN=19.0282257541244781097283266553 logHj=63.3588351954024167418676399674 hhat=3.87336469368538662541620670401 R1=0.0611337737150580419754151302417 R2=0.203558899486244133951627311047 F3sq=0
GEN_RESULT (15,8) q=161/240 logN=18.8460110264202090513489668957 logHj=64.9145973128470222431704441438 hhat=7.77251514907587612365986690375 R1=0.119734473767391678418312824736 R2=0.412422296589957038140100618663 F3sq=0
