m,n,q_num,q_den,cond_ef,cond_eg,cond_fg,cond_Hp,cond_Hm,rank_lo_ef,rank_lo_eg,rank_lo_fg,rank_lo_Hp,rank_lo_Hm,rank_hi_ef,rank_hi_eg,rank_hi_fg,rank_hi_Hp,rank_hi_Hm,total_lo,total_hi,chosen_prime,non_isogenous
22,17,748,195,19015731735,28187445,450999120,304251707760,29398321262310,3,0,1,1,1,3,0,1,1,1,6,6,19,1
35,22,1540,741,519937332915,487552065,7800833040,8318997326640,1777145803903470,3,2,1,1,1,3,2,1,1,1,8,8,29,1
37,26,1924,693,357947086497,227221995,3635551920,5727153383952,1464003583772730,3,1,1,2,0,3,1,1,2,0,7,7,17,1
40,29,2320,759,1057918875090,537288510,4298308080,8463351000720,2582379974094690,3,1,0,1,2,3,3,0,1,2,7,9,13,1
40,33,2640,511,1131250813770,453446070,3627568560,9050006510160,3041933438227530,3,1,0,1,0,3,3,2,1,2,5,11,13,1
41,18,1476,1357,56270204697,334656555,5354504880,900323275152,225643520834970,3,1,1,2,2,3,1,1,2,2,9,9,11,1
44,9,792,1855,344488759230,246941310,1975530480,2755910073840,694833827366910,3,1,0,2,0,3,1,2,2,0,6,8,13,1
53,32,3392,1785,1574121053190,725241930,5801935440,12592968425520,6033605996877270,3,2,0,2,0,3,2,2,2,0,7,9,11,1
59,40,4720,1881,6932576613270,1879614330,15036914640,55460612906160,35224421772024870,3,1,1,2,0,3,3,1,2,0,7,9,13,1
60,43,5160,1751,53216186625210,12308146710,98465173680,425729493001680,289975000920769290,3,1,0,1,0,3,3,0,3,2,5,11,11,1
61,38,4636,2277,14345632782327,4543552365,72696837840,229530124517232,148190386641437910,3,1,2,3,0,3,3,2,3,2,9,13,13,1
63,38,4788,2525,3334605031905,1090692435,17451078960,53353680510480,36100434075403530,3,1,1,4,1,3,1,1,4,1,10,10,11,1
64,53,6784,1287,2017512535038,313997970,2511983760,16140100280304,13930924054437390,3,0,0,2,1,3,0,0,2,1,6,6,17,1
66,23,3036,3827,15768512274669,14189425305,227030804880,252296196394704,154058364923516130,3,1,0,2,0,3,3,2,2,0,6,10,13,1
69,22,3036,4277,29461060848219,17026544535,272424712560,471376973571504,309046528297817310,3,1,1,3,0,3,1,1,3,2,8,10,19,1
71,50,7100,2541,3604391924595,618399705,9894395280,57670270793520,54361439006741790,3,0,1,1,1,3,2,1,1,1,6,8,13,1
73,24,3504,4753,3067104744186,1756158810,14049270480,24536837953488,18111253514418330,3,1,1,3,1,3,3,1,3,3,9,13,11,1
74,33,4884,4387,24681199823049,35165599755,562649596080,394899197168784,324064153676633370,3,2,0,2,1,3,2,0,2,1,8,8,17,1
77,26,4004,5253,60795884378229,34730761065,555692177040,972734150051664,803113632636405090,3,1,0,2,0,3,1,2,2,2,6,10,19,1
77,48,7392,3625,2780154602610,551528670,4412229360,22241236820880,22889012843288130,3,2,1,1,0,3,2,1,1,0,7,7,13,1
84,19,3192,6695,185036814900210,39626138370,317009106960,1480294519201680,1372418056114857570,3,0,0,1,2,3,2,2,1,2,6,10,11,1
84,37,6216,5687,219950942442,1353759330,10830074640,1759607539536,370617338014770,3,1,1,1,1,3,3,1,1,1,7,9,13,1
86,47,8084,5187,403027523456649,100688513835,1611016221360,6448440375306384,7742158725602227290,3,1,1,2,1,3,1,1,2,1,8,8,11,1
88,7,1232,7695,2532242371890,342034770,2736278160,20257938975120,19733764804138770,3,0,0,1,2,3,2,2,3,2,6,12,13,1
88,19,3344,7383,133709198035182,25012791870,200102334960,1069673584281456,1083713050075150110,3,0,1,2,1,3,2,1,4,1,7,11,13,1
88,35,6160,6519,22848156068430,45021061470,360168491760,182785248547440,204925111777748670,3,2,1,4,0,3,2,1,4,0,10,10,13,1
88,61,10736,4023,8490545210994,6877555410,55020443280,67924361687952,97344100844046210,3,1,1,1,1,3,1,1,1,1,7,7,13,1
89,72,12816,2737,229111913054346,19153717590,153229740720,1832895304434768,3002511620577204330,3,1,0,1,1,3,1,2,1,1,6,8,11,1
89,80,14240,1521,6958110958890,497081910,3976655280,55664887671120,99647107042263690,3,0,1,1,0,3,2,1,1,2,5,9,11,1
91,22,4004,7797,349352024842821,68409045705,1094544731280,5589632397485136,6124140995494652130,3,1,0,2,0,3,3,2,2,0,6,10,17,1
93,26,4836,7973,387327033201381,17977400805,287638412880,6197232531222096,1444729833841151130,3,1,0,2,0,3,1,0,2,0,6,6,11,1
94,77,14476,2907,705233463346797,51778064415,828449030640,11283735413548752,20825544172630915410,3,1,1,2,0,3,1,1,2,2,7,9,13,1
95,34,6460,7869,256577723647035,129384576735,2070153227760,4105243578352560,5224435608900926670,3,0,0,3,1,3,2,0,3,3,7,11,11,1
96,91,17472,935,155397487335090,8932393470,71459147760,1243179898680720,2718989835902069730,3,0,1,1,0,3,2,1,1,0,5,7,19,1
97,60,11640,5809,35100384145890,219906607710,1759252861680,280803073167120,456620897353883010,1,0,1,1,0,3,2,1,1,0,3,7,11,1
97,88,17072,1665,341905067410830,20315498610,162523988880,2735240539286640,5864697621297966990,3,0,0,2,1,3,2,2,2,3,6,12,13,1
97,90,17460,1309,4214272596765,33347553855,533560861680,67428361548240,147575397793516770,3,0,2,2,1,3,2,2,2,1,8,10,13,1
99,28,5544,9017,210668707326462,44095564590,352764516720,1685349658611696,2229928267050600270,4,2,1,1,1,4,2,3,1,1,9,11,13,1
