# m n lo up gens time_s logN
# m n lo up gens time_s logN
301 44 0 2 0 0.57400000000000000000000000000000000000 5.3205455555239743290848287306124049484
301 158 0 0 0 0.016000000000000000000000000000000000000 -0.0019700837278407201655332020902287889795
301 232 0 0 0 0.019000000000000000000000000000000000000 -1.1763305981011958478219886587622082811
302 115 2 2 2 0.024000000000000000000000000000000000000 0.23615438665457128883353363373019548800
302 209 0 0 0 0.017000000000000000000000000000000000000 -0.62574287334867313793539281719748912394
303 292 2 2 2 0.026000000000000000000000000000000000000 -4.5248524204190014494531081268877007580
304 213 0 0 0 0.018000000000000000000000000000000000000 -0.67782231381997934989425165798307253966
304 235 1 1 1 0.024000000000000000000000000000000000000 -1.1949529957656782737990410961982464801
305 178 1 1 1 0.26900000000000000000000000000000000000 -0.12177980756964396942267770777726490491
305 284 0 0 0 0.057000000000000000000000000000000000000 -3.3855734749622074568012068493734962710
306 97 0 0 0 0.020000000000000000000000000000000000000 1.8231015603915219163579933820949401133
306 163 2 2 2 0.029000000000000000000000000000000000000 -0.0080415849363318551460910891491270531790
307 174 1 1 0 0.33400000000000000000000000000000000000 -0.072447474672788263879403648353617654336
307 230 0 0 0 0.018000000000000000000000000000000000000 -1.0074567606817980892692354066362605500
308 247 1 1 0 0.40600000000000000000000000000000000000 -1.4506040293437635718823907947348370385
308 277 1 1 1 0.045000000000000000000000000000000000000 -2.6999188796988363193221519973751490477
309 62 1 1 1 0.020000000000000000000000000000000000000 4.0667313084203471505048003239949110153
309 218 1 1 0 0.32700000000000000000000000000000000000 -0.70793581254867541330827562826205002093
310 101 1 1 0 0.27500000000000000000000000000000000000 1.6438605817813535740251042093064175729
310 127 1 1 0 0.39700000000000000000000000000000000000 -1.7719830322343421023195768693968301393
312 11 1 1 1 0.019000000000000000000000000000000000000 10.409313670460282558376886944148786473
312 59 0 0 0 0.017000000000000000000000000000000000000 4.3106821212827112416811605134061902436
314 77 1 1 1 0.021000000000000000000000000000000000000 3.1878204458745729785672941957217139708
314 85 0 0 0 0.078000000000000000000000000000000000000 2.7089295349729648930036572456799243107
314 93 1 1 1 0.029000000000000000000000000000000000000 2.2289129241559859047734092866392434474
314 219 1 1 1 0.026000000000000000000000000000000000000 -0.65821034036265390821279239565004236144
