# m n wp wm wmn w(m+n) w(m-n)
301 44 3 4 4 3 1
301 158 3 4 4 2 2
301 232 3 4 4 2 2
302 115 3 4 4 2 2
302 209 3 4 4 2 2
303 292 3 4 4 3 1
304 213 3 4 4 2 2
304 235 3 4 4 2 2
305 178 3 4 4 3 1
305 284 3 4 4 2 2
306 97 3 4 4 2 2
306 163 3 4 4 2 2
307 174 3 4 4 2 2
307 230 3 4 4 2 2
308 247 3 4 5 3 1
308 277 3 4 4 3 1
309 62 3 4 4 2 2
309 218 3 4 4 2 2
310 101 3 4 4 2 2
310 127 3 4 4 2 2
312 11 3 4 4 2 2
312 59 3 4 4 2 2
314 77 3 4 4 2 2
314 85 3 4 4 3 1
314 93 3 4 4 2 2
314 219 3 4 4 2 2
314 237 3 4 4 2 2
314 247 3 4 4 3 1
317 222 3 4 4 2 2
317 266 3 4 4 2 2
318 17 3 4 4 2 2
318 109 3 4 4 2 2
318 133 3 4 5 2 2
318 199 3 4 4 2 2
318 241 3 4 4 2 2
319 52 3 4 4 2 2
319 72 3 4 4 2 2
319 74 3 4 4 2 2
319 84 3 4 5 2 2
319 118 3 4 4 2 2
319 158 3 4 4 2 2
319 178 3 4 4 2 2
319 186 3 4 5 2 2
319 262 3 4 4 2 2
320 133 3 4 4 2 2
321 20 3 4 4 2 2
322 13 3 4 4 2 2
322 67 3 4 4 1 3
322 151 3 4 4 2 2
322 167 3 4 4 2 2
322 179 3 4 4 2 2
322 193 3 4 4 2 2
322 239 3 4 4 3 1
323 62 3 5 4 3 2
323 88 3 4 4 2 2
323 106 3 5 4 3 2
323 146 3 4 4 2 2
323 236 3 4 4 2 2
324 259 3 4 4 2 2
326 143 3 4 4 2 2
326 301 3 4 4 3 1
327 124 3 4 4 2 2
327 166 3 4 4 2 2
327 184 3 4 4 2 2
328 119 3 4 4 2 2
328 141 4 4 4 2 2
328 253 3 4 4 2 2
329 62 3 4 4 2 2
329 124 3 4 4 2 2
329 142 3 4 4 2 2
329 152 3 4 4 2 2
329 214 3 4 4 2 2
329 254 3 4 4 2 2
332 161 3 4 4 2 2
332 185 3 4 4 2 2
332 221 3 4 4 2 2
332 253 3 4 4 3 1
333 248 3 4 4 2 2
334 95 3 4 4 3 1
334 117 3 4 4 2 2
334 215 3 4 4 2 2
335 76 3 4 4 2 2
335 158 3 4 4 2 2
335 192 3 4 4 2 2
335 224 3 4 4 2 2
336 101 3 4 4 2 2
337 190 3 4 4 2 2
337 246 3 4 4 2 2
337 252 3 4 4 2 2
337 286 3 4 4 2 2
338 33 3 4 4 2 2
338 145 3 4 4 3 1
339 38 3 4 4 2 2
339 178 3 4 4 2 2
340 67 3 5 4 2 3
340 179 3 4 4 2 2
340 211 3 4 4 2 2
340 241 3 4 4 2 2
340 263 3 4 4 2 2
341 26 3 4 4 1 3
341 54 3 4 4 2 2
