# m n lo_e6 up_e6 gens isog_idx isog_lo isog_up isog_gens t_total verdict
341 208 3 3 3 0 3 3 3 0.032000000000000000000000000000000000000 RANK3_PROVEN
359 138 3 3 3 0 3 3 3 0.025000000000000000000000000000000000000 RANK3_PROVEN
366 107 3 3 3 0 3 3 3 0.027000000000000000000000000000000000000 RANK3_PROVEN
391 248 3 3 3 0 3 3 3 0.027000000000000000000000000000000000000 RANK3_PROVEN
413 214 3 3 3 0 3 3 3 0.031000000000000000000000000000000000000 RANK3_PROVEN
442 229 3 3 3 0 3 3 3 0.030000000000000000000000000000000000000 RANK3_PROVEN
451 152 3 3 3 0 3 3 3 0.026000000000000000000000000000000000000 RANK3_PROVEN
451 214 3 3 3 0 3 3 3 0.024000000000000000000000000000000000000 RANK3_PROVEN
457 154 3 3 3 0 3 3 3 0.024000000000000000000000000000000000000 RANK3_PROVEN
462 71 3 3 3 0 3 3 3 0.028000000000000000000000000000000000000 RANK3_PROVEN
464 65 3 3 3 0 3 3 3 0.027000000000000000000000000000000000000 RANK3_PROVEN
502 341 3 3 3 0 3 3 3 0.073000000000000000000000000000000000000 RANK3_PROVEN
506 47 3 3 3 0 3 3 3 0.024000000000000000000000000000000000000 RANK3_PROVEN
506 313 3 3 3 0 3 3 3 0.025000000000000000000000000000000000000 RANK3_PROVEN
526 319 3 3 3 0 3 3 3 0.027000000000000000000000000000000000000 RANK3_PROVEN
538 279 3 3 3 0 3 3 3 0.025000000000000000000000000000000000000 RANK3_PROVEN
541 306 3 3 3 0 3 3 3 0.14000000000000000000000000000000000000 RANK3_PROVEN
562 483 3 3 3 0 3 3 3 0.038000000000000000000000000000000000000 RANK3_PROVEN
578 319 4 4 4 0 4 4 4 0.028000000000000000000000000000000000000 RANK4_PROVEN
581 362 3 3 3 0 3 3 3 0.026000000000000000000000000000000000000 RANK3_PROVEN
589 316 3 3 3 0 3 3 3 0.19000000000000000000000000000000000000 RANK3_PROVEN
592 539 3 3 3 0 3 3 3 0.031000000000000000000000000000000000000 RANK3_PROVEN
629 398 3 3 3 0 3 3 3 0.031000000000000000000000000000000000000 RANK3_PROVEN
737 574 3 3 3 0 3 3 3 0.029000000000000000000000000000000000000 RANK3_PROVEN
778 531 3 3 3 0 3 3 3 0.027000000000000000000000000000000000000 RANK3_PROVEN
816 497 3 3 3 0 3 3 3 0.026000000000000000000000000000000000000 RANK3_PROVEN
834 361 3 3 3 0 3 3 3 0.095000000000000000000000000000000000000 RANK3_PROVEN
851 334 3 3 3 0 3 3 3 0.026000000000000000000000000000000000000 RANK3_PROVEN
869 442 3 3 3 0 3 3 3 0.030000000000000000000000000000000000000 RANK3_PROVEN
892 551 3 3 3 0 3 3 3 0.031000000000000000000000000000000000000 RANK3_PROVEN
899 158 3 3 3 0 3 3 3 0.11500000000000000000000000000000000000 RANK3_PROVEN
928 623 3 3 3 0 3 3 3 0.035000000000000000000000000000000000000 RANK3_PROVEN
943 206 3 3 3 0 3 3 3 0.030000000000000000000000000000000000000 RANK3_PROVEN
974 259 3 3 3 0 3 3 3 0.033000000000000000000000000000000000000 RANK3_PROVEN
988 251 3 3 3 0 3 3 3 0.034000000000000000000000000000000000000 RANK3_PROVEN
988 321 3 3 3 0 3 3 3 0.030000000000000000000000000000000000000 RANK3_PROVEN
