# m n lo_orig up_orig lo_e6 up_e6 gens iso_lo iso_up t verdict
359 226 1 3 1 3 1 1 3 5.5810000000000000000000000000000000000 GAP_1_3
304 233 1 3 1 3 1 1 3 6.2220000000000000000000000000000000000 GAP_1_3
421 34 1 3 1 3 1 1 3 9.5500000000000000000000000000000000000 GAP_1_3
421 344 4 4 4 4 4 4 4 0.085000000000000000000000000000000000000 RANK4_PROVEN
454 131 4 4 4 4 4 4 4 0.086000000000000000000000000000000000000 RANK4_PROVEN
482 337 1 3 1 3 1 1 3 5.9200000000000000000000000000000000000 GAP_1_3
487 158 2 4 2 4 2 2 4 5.0480000000000000000000000000000000000 GAP_2_4
487 334 1 3 1 3 1 1 3 3.9480000000000000000000000000000000000 GAP_1_3
488 5 1 3 1 3 1 1 3 6.2910000000000000000000000000000000000 GAP_1_3
488 293 4 4 4 4 4 4 4 0.070000000000000000000000000000000000000 RANK4_PROVEN
509 242 1 3 1 3 1 1 3 3.8600000000000000000000000000000000000 GAP_1_3
509 254 1 3 1 3 1 1 3 3.3520000000000000000000000000000000000 GAP_1_3
538 239 1 3 1 3 1 1 3 3.0780000000000000000000000000000000000 GAP_1_3
542 73 1 3 1 3 1 1 3 5.7980000000000000000000000000000000000 GAP_1_3
542 257 1 3 1 3 1 1 3 3.6410000000000000000000000000000000000 GAP_1_3
548 317 1 3 1 3 1 1 3 4.0130000000000000000000000000000000000 GAP_1_3
569 14 1 3 1 3 1 1 3 5.0080000000000000000000000000000000000 GAP_1_3
576 97 1 3 1 3 0 1 3 4.2160000000000000000000000000000000000 GAP_1_3
592 59 4 4 4 4 4 4 4 0.067000000000000000000000000000000000000 RANK4_PROVEN
619 304 1 3 1 3 1 1 3 4.2750000000000000000000000000000000000 GAP_1_3
1004 739 1 3 1 3 0 1 3 4.4310000000000000000000000000000000000 GAP_1_3
1359 358 1 3 1 3 1 1 3 3.5120000000000000000000000000000000000 GAP_1_3
1006 499 1 3 1 3 0 1 3 3.5470000000000000000000000000000000000 GAP_1_3
1507 1438 1 3 1 3 0 1 3 5.1960000000000000000000000000000000000 GAP_1_3
1006 821 1 3 1 3 0 1 3 4.4820000000000000000000000000000000000 GAP_1_3
1007 628 1 3 1 3 0 1 3 4.6720000000000000000000000000000000000 GAP_1_3
1672 181 1 3 1 3 1 1 3 5.4020000000000000000000000000000000000 GAP_1_3
1681 238 1 3 1 3 1 1 3 6.2090000000000000000000000000000000000 GAP_1_3
1741 1196 1 3 1 3 0 1 3 6.9790000000000000000000000000000000000 GAP_1_3
1009 674 1 3 1 3 1 1 3 5.9630000000000000000000000000000000000 GAP_1_3
1805 692 1 3 1 3 1 1 3 4.5410000000000000000000000000000000000 GAP_1_3
1011 458 1 3 1 3 1 1 3 3.1230000000000000000000000000000000000 GAP_1_3
1012 223 4 4 4 4 4 4 4 0.071000000000000000000000000000000000000 RANK4_PROVEN
1012 301 4 4 4 4 4 4 4 0.059000000000000000000000000000000000000 RANK4_PROVEN
1013 10 1 3 1 3 1 1 3 4.8280000000000000000000000000000000000 GAP_1_3
1918 1151 1 3 1 3 0 1 3 4.7450000000000000000000000000000000000 GAP_1_3
1975 1646 1 3 1 3 1 1 3 5.1260000000000000000000000000000000000 GAP_1_3
1013 842 1 3 1 3 1 1 3 4.1430000000000000000000000000000000000 GAP_1_3
1982 1421 1 3 1 3 0 1 3 4.5460000000000000000000000000000000000 GAP_1_3
1013 952 1 3 1 3 1 1 3 5.1240000000000000000000000000000000000 GAP_1_3
1016 139 1 3 1 3 1 1 3 5.6580000000000000000000000000000000000 GAP_1_3
1016 727 1 3 1 3 1 1 3 4.5810000000000000000000000000000000000 GAP_1_3
1016 749 1 3 1 3 0 1 3 5.0010000000000000000000000000000000000 GAP_1_3
1017 512 4 4 4 4 4 4 4 0.088000000000000000000000000000000000000 RANK4_PROVEN
1017 548 1 3 1 3 0 1 3 3.5940000000000000000000000000000000000 GAP_1_3
1018 201 1 3 1 3 1 1 3 4.6100000000000000000000000000000000000 GAP_1_3
1018 521 1 3 1 3 0 1 3 3.6750000000000000000000000000000000000 GAP_1_3
1021 328 4 4 4 4 4 4 4 0.086000000000000000000000000000000000000 RANK4_PROVEN
1021 540 2 4 2 4 2 2 4 4.9920000000000000000000000000000000000 GAP_2_4
1021 948 1 3 1 3 0 1 3 4.7690000000000000000000000000000000000 GAP_1_3
1022 629 1 3 1 3 1 1 3 3.9640000000000000000000000000000000000 GAP_1_3
1024 121 1 3 1 3 1 1 3 5.6290000000000000000000000000000000000 GAP_1_3
1024 937 1 3 1 3 1 1 3 4.4760000000000000000000000000000000000 GAP_1_3
1025 88 1 3 1 3 1 1 3 5.0470000000000000000000000000000000000 GAP_1_3
1025 692 1 3 1 3 1 1 3 4.5260000000000000000000000000000000000 GAP_1_3
1030 709 1 3 1 3 1 1 3 4.8040000000000000000000000000000000000 GAP_1_3
1031 194 1 3 1 3 1 1 3 4.3800000000000000000000000000000000000 GAP_1_3
1033 914 1 3 1 3 1 1 3 4.0780000000000000000000000000000000000 GAP_1_3
1037 958 2 4 2 4 2 2 4 5.1740000000000000000000000000000000000 GAP_2_4
1038 667 1 3 1 3 1 1 3 5.1080000000000000000000000000000000000 GAP_1_3
1039 926 1 3 1 3 0 1 3 4.0760000000000000000000000000000000000 GAP_1_3
1039 944 1 3 1 3 1 1 3 5.6080000000000000000000000000000000000 GAP_1_3
