[0;31m  ***   Warning: new stack size = 1200000000 (1144.409 Mbytes).[0m
Loaded 1862 ext candidates
  100/1862 (5.3705692803437164339419978517722878625%) promising=0 elapsed=20.990000000000000000000000000000000000s eta=369.84380000000000000000000000000000000s
  200/1862 (10.741138560687432867883995703544575725%) promising=0 elapsed=45.626000000000000000000000000000000000s eta=379.15206000000000000000000000000000000s
  300/1862 (16.111707841031149301825993555316863588%) promising=0 elapsed=70.622000000000000000000000000000000000s eta=367.70521333333333333333333333333333334s
  400/1862 (21.482277121374865735767991407089151450%) promising=0 elapsed=103.52100000000000000000000000000000000s eta=378.36925500000000000000000000000000000s
  500/1862 (26.852846401718582169709989258861439313%) promising=0 elapsed=134.67900000000000000000000000000000000s eta=366.86559600000000000000000000000000000s
  600/1862 (32.223415682062298603651987110633727175%) promising=0 elapsed=167.56300000000000000000000000000000000s eta=352.44084333333333333333333333333333333s
  700/1862 (37.593984962406015037593984962406015038%) promising=0 elapsed=198.39500000000000000000000000000000000s eta=329.33570000000000000000000000000000000s
  800/1862 (42.964554242749731471535982814178302900%) promising=0 elapsed=234.01800000000000000000000000000000000s eta=310.65889500000000000000000000000000000s
  900/1862 (48.335123523093447905477980665950590763%) promising=0 elapsed=277.82400000000000000000000000000000000s eta=296.96298666666666666666666666666666667s
  1000/1862 (53.705692803437164339419978517722878625%) promising=0 elapsed=314.63900000000000000000000000000000000s eta=271.21881800000000000000000000000000000s
