# m n lo up gens time_s logN
1004 349 0 0 0 0.078000000000000000000000000000000000000 22.659810686391210099489128322217943778
1003 376 2 2 2 0.070000000000000000000000000000000000000 22.163356251714807060953624442775865130
1004 353 0 2 0 0.36900000000000000000000000000000000000 22.638647285990597031970484329390246403
1004 767 2 2 1 0.34200000000000000000000000000000000000 23.550068291049669577742507885726454190
1012 457 0 0 0 0.13600000000000000000000000000000000000 22.556096105848510584799633941495437102
1004 361 1 1 0 0.23300000000000000000000000000000000000 21.311764723360332618494231009237687196
1013 754 0 0 0 0.15500000000000000000000000000000000000 23.569667734146475910304372046419834883
1004 367 1 1 0 0.21100000000000000000000000000000000000 21.703131156083471686086368641394921808
1004 375 0 0 0 0.044000000000000000000000000000000000000 21.083021566764188407164457902674970235
1026 619 1 1 0 0.30400000000000000000000000000000000000 22.439699164723915027721954832413285332
1027 376 2 2 2 0.065000000000000000000000000000000000000 22.321476176652768014773777625794915424
1004 377 1 1 0 0.24400000000000000000000000000000000000 22.461711061837647020546950609850402828
1027 436 0 0 0 0.063000000000000000000000000000000000000 22.022528141159561476116573997387109123
1004 387 1 1 0 0.23600000000000000000000000000000000000 21.867808453662379131218769432963700981
1031 602 1 1 0 0.21400000000000000000000000000000000000 23.358501431444949481843201033749193313
1034 173 0 0 0 0.16100000000000000000000000000000000000 22.946882956803653051187741565701353084
1036 137 0 0 0 0.036000000000000000000000000000000000000 22.887555547048586111997802022500365926
1043 244 1 1 1 0.060000000000000000000000000000000000000 22.541848565101896449869827257737487480
1004 393 1 1 0 0.26500000000000000000000000000000000000 22.250935994012732409729073420438138064
1004 413 1 1 0 0.17400000000000000000000000000000000000 21.372266259084157589610878788359956698
1004 421 1 1 1 0.081000000000000000000000000000000000000 20.088856837876453373841370418239017165
1047 724 1 1 0 0.28800000000000000000000000000000000000 23.630807916759779636947807380906023980
1004 431 1 1 0 0.26000000000000000000000000000000000000 22.112896902043589254447944721621214801
1051 258 1 1 0 0.33200000000000000000000000000000000000 23.042396682508101030173973204760991833
1063 286 0 0 0 0.16900000000000000000000000000000000000 23.065005289719857564430542927806188100
1004 437 1 1 0 0.27100000000000000000000000000000000000 20.832510144226697648120881679123815186
1067 934 0 0 0 0.15200000000000000000000000000000000000 23.713849938848191956465346556087946575
1004 439 1 1 0 0.26100000000000000000000000000000000000 22.305084964344460365252001113354404814
1069 366 1 1 0 0.27100000000000000000000000000000000000 22.903086295312069729344417185140063715
1004 445 1 1 0 0.27700000000000000000000000000000000000 21.933823011899794112724036133103753021
1080 229 1 1 0 0.21500000000000000000000000000000000000 21.882188141951373556046889569856322566
1004 451 1 1 1 0.20300000000000000000000000000000000000 22.497812399535137708026046037483372306
1004 453 0 0 0 0.048000000000000000000000000000000000000 22.523666527473693144590558310781079659
1004 457 0 0 0 0.038000000000000000000000000000000000000 22.571661016535540952847215559206057793
1101 628 1 1 0 0.22500000000000000000000000000000000000 23.546007040826522334562864973793835211
1004 459 0 0 0 0.053000000000000000000000000000000000000 21.639792751346347785918613995453958184
1004 463 1 1 0 0.26400000000000000000000000000000000000 22.158885463611342433725502376804923473
