# m n gen_i F3 issquare
421 344 1 113459275370723449449529/18763928808640261525504 0
421 344 2 1562477542313797508915569/959314780808879756857600 0
421 344 3 326045164938985922795130649/140223417709728399572865024 0
421 344 4 864770058844049928172681/792556279404807984025600 0
454 131 1 1258223204003186480569/345067412356319804944 0
454 131 2 984394510029882237529/63475272614139961600 0
454 131 3 1849051901282405087392302025/83717338327611106634450704 0
454 131 4 327697533353651748202778976946561/79897048307186498077561912615936 0
488 293 1 302576628703810118425/212278595083295111424 0
488 293 2 150846064815017230825/88049471406753024256 0
488 293 3 513074341676612852521801/284672185417023838546176 0
488 293 4 37727744834538032444663304295969/28311205798826000614956392665344 0
1012 223 1 43097549284205425/6822333129877056 0
1012 223 2 39734675709085878036410556233325739849167547331881/6352526231034676486835179745481920866300308505600 0
1012 223 3 360218099881634326079402597263275152485559952576167768568289/54930549252931138249836074145500913063372742288331538752064 0
1012 223 4 7982555700890257863683123827709658154679204740989439419206772489841/263536235078728199435222996445559554218454137709451307783629809216 0
1012 301 1 403131261977732464450258609/21570742550743751198310400 0
1012 301 2 61681930777051056521631036625/183897688988354631784707136 0
1012 301 3 576105488576288511565570517281/156423810696860069532596750400 0
1012 301 4 300171403722095280368870428244641/15544038052389112122514961934400 0
1017 512 1 1067656266816529/677831639040000 0
1017 512 2 545646992340740637649/215768478983100825600 0
1017 512 3 6870048458642807425/2974147369085435904 0
1017 512 4 1579841087605993607466744867547467673555512987377476729/144741430535282240808602447254507085990855331601711104 0
1021 328 1 4103472685624094479321/1300135442842289721600 0
1021 328 2 27289234198140092085457225/4818442331357269927969024 0
1021 328 3 2620436971475106114673225/596814532456815840411904 0
1021 328 4 559670666881684944936025/92839961529130516533504 0
