# m n lo up gens time_s logN
302 1 2 2 1 0.50700000000000000000000000000000000000 17.058985271578021531567962485549363859
302 17 2 2 2 0.054000000000000000000000000000000000000 18.279757180145046842300341175183059788
302 43 1 1 1 0.20200000000000000000000000000000000000 18.627468047969283623535810230211080052
359 226 1 3 1 0.96100000000000000000000000000000000000 19.329068966778245266811381414747653076
302 83 1 1 0 0.62000000000000000000000000000000000000 18.686321175011466567814289552360143252
302 97 2 2 2 0.064000000000000000000000000000000000000 18.591408959652163171562117478639326492
302 127 2 2 2 0.067000000000000000000000000000000000000 16.853515321952241009505615420742151636
359 236 0 2 0 0.73500000000000000000000000000000000000 19.859807793247579385191769296301957950
302 271 0 2 0 0.57600000000000000000000000000000000000 16.232406227225791599455103462580228010
359 248 1 1 0 0.56900000000000000000000000000000000000 17.534494574989155861381582558381221807
304 31 1 1 1 0.052000000000000000000000000000000000000 17.935918561793263370091509821207349268
359 268 1 1 1 0.049000000000000000000000000000000000000 19.967058460465825231528176822069732320
304 73 2 2 2 0.049000000000000000000000000000000000000 18.132348139575265919197289336691679635
359 298 0 0 0 0.036000000000000000000000000000000000000 19.499225595298402681007222556498446610
304 109 0 0 0 0.037000000000000000000000000000000000000 17.844152403734595374060993194827378734
304 151 1 1 1 0.042000000000000000000000000000000000000 17.678523544105935809097685199750643879
359 304 3 3 3 0.074000000000000000000000000000000000000 19.362456893550221214125287556394652395
359 332 1 1 1 0.20200000000000000000000000000000000000 18.843658337666222566192579315786098210
361 4 0 0 0 0.044000000000000000000000000000000000000 16.924453453652647918195648031530995895
361 16 0 0 0 0.036000000000000000000000000000000000000 16.918825423847553088082959093844288885
361 18 0 0 0 0.024000000000000000000000000000000000000 15.403116457078040817054582956113775810
361 46 2 2 2 0.063000000000000000000000000000000000000 17.456906020239328691767878540303026028
304 233 1 3 1 0.71900000000000000000000000000000000000 17.953137637102741035285929799068498915
361 74 1 1 0 0.46500000000000000000000000000000000000 16.686485818513651027275642756665982827
361 94 0 0 0 0.18600000000000000000000000000000000000 18.041948817640227076065161130461767439
361 128 0 0 0 0.033000000000000000000000000000000000000 16.283921611379150345597596416465581529
307 8 1 1 0 0.68000000000000000000000000000000000000 17.231809495054838931016038072522598466
307 22 1 1 1 0.053000000000000000000000000000000000000 18.435545166688434946488461680764522856
361 166 1 1 0 0.48000000000000000000000000000000000000 17.789901065211397969322723036309201183
361 200 1 1 1 0.049000000000000000000000000000000000000 17.338122937268404521205128026708749102
307 34 1 1 1 0.18600000000000000000000000000000000000 18.601930503779244869312234713004922634
307 64 0 0 0 0.035000000000000000000000000000000000000 15.653112973341714350724986508406111355
307 92 0 0 0 0.030000000000000000000000000000000000000 18.703253203063629178775784803217477878
307 122 1 1 1 0.13100000000000000000000000000000000000 18.009429790077532050544075496713942093
307 144 0 0 0 0.028000000000000000000000000000000000000 17.514252107476092056029826007130702881
307 148 2 2 2 0.051000000000000000000000000000000000000 18.696349108770038135548951852770104946
307 188 0 0 0 0.095000000000000000000000000000000000000 18.746942640237874137943512488279845765
311 46 0 0 0 0.10300000000000000000000000000000000000 18.740570817349038514681804444212591196
361 284 0 2 0 0.60600000000000000000000000000000000000 18.724546998296587806373837928866230973
311 74 1 1 0 0.51400000000000000000000000000000000000 18.814058058530536907473491166337175636
361 288 1 1 0 0.43600000000000000000000000000000000000 17.345179991582034703263343983595300656
311 80 1 1 1 0.052000000000000000000000000000000000000 18.203037013361923141704721677804699723
362 23 0 0 0 0.038000000000000000000000000000000000000 18.959259897650198311102260598847395659
311 116 0 0 0 0.13200000000000000000000000000000000000 18.413980704883849685070109332132894265
311 122 0 0 0 0.041000000000000000000000000000000000000 17.209422819648111713989974060636489234
362 37 0 0 0 0.18100000000000000000000000000000000000 18.446538708518743314890210302979977901
311 124 2 2 2 0.056000000000000000000000000000000000000 18.020441822519466292274020515275647924
362 67 1 1 1 0.060000000000000000000000000000000000000 19.321583266441442410414587097008533142
362 81 0 0 0 0.031000000000000000000000000000000000000 17.911145482481090061823719656111910121
311 206 1 1 1 0.10600000000000000000000000000000000000 19.369675622004934658893081626000584506
313 28 1 1 1 0.18700000000000000000000000000000000000 18.590108196114416904480258800067293336
313 44 1 1 1 0.052000000000000000000000000000000000000 18.747945987572168326215060164896883259
362 89 0 2 0 0.63800000000000000000000000000000000000 19.339087588532115511144723890070657391
313 58 1 1 0 0.44900000000000000000000000000000000000 18.816485407022570371125040377229603472
313 82 2 2 2 0.065000000000000000000000000000000000000 18.823701114249675877896176575199477481
313 96 2 2 2 0.23000000000000000000000000000000000000 17.851855274780861966700845058037383011
362 101 1 1 0 0.47600000000000000000000000000000000000 18.833519375112905771332172309597801393
362 103 1 1 0 0.42200000000000000000000000000000000000 19.302781177169750266013824706137683217
313 142 2 2 1 0.59300000000000000000000000000000000000 18.027430770143915894946517375688916899
313 152 0 0 0 0.045000000000000000000000000000000000000 18.487316940943341360256817184589777617
362 107 1 1 0 0.48600000000000000000000000000000000000 19.283940998427193059546196514930780004
362 131 0 0 0 0.038000000000000000000000000000000000000 19.030631534669026313882796085896850798
362 139 0 0 0 0.13000000000000000000000000000000000000 18.820720683145539152540635327139710653
313 164 0 2 0 0.52200000000000000000000000000000000000 18.523397274268157842753307202890600318
313 176 1 1 1 0.035000000000000000000000000000000000000 18.547696988785713596269692569981191249
362 197 3 3 3 0.057000000000000000000000000000000000000 19.590225370709233108733162672871626307
313 248 1 1 1 0.066000000000000000000000000000000000000 19.207218097878001191877161728677734097
313 304 2 2 2 0.059000000000000000000000000000000000000 17.901260248694134639871408439215553930
362 211 0 0 0 0.12700000000000000000000000000000000000 19.719138584407746703719307042380979687
362 233 1 1 1 0.17300000000000000000000000000000000000 19.863589228349017464100388095897441887
365 64 1 1 1 0.056000000000000000000000000000000000000 18.135461195041535668030412284861019638
367 10 1 1 1 0.052000000000000000000000000000000000000 18.649371155815435439114588997279097405
314 3 1 1 0 0.37100000000000000000000000000000000000 17.654321230572565562661130920910032324
367 32 0 0 0 0.13600000000000000000000000000000000000 18.230127381445176573559888281502822143
367 54 0 0 0 0.035000000000000000000000000000000000000 18.360081441031027122671742162034882954
314 41 0 0 0 0.11800000000000000000000000000000000000 18.736066750158924635132143184177964740
367 62 0 0 0 0.040000000000000000000000000000000000000 19.350305112895532257708653471140010529
314 169 0 0 0 0.11000000000000000000000000000000000000 17.958553805826594864583044962119838775
314 181 1 1 1 0.18700000000000000000000000000000000000 18.728713143614111983372863702531994298
367 68 1 1 0 0.56600000000000000000000000000000000000 18.524344176882800924201847045684649715
314 257 1 1 0 0.36600000000000000000000000000000000000 19.516098901183534684878759586452041621
367 88 0 0 0 0.075000000000000000000000000000000000000 18.610693124766040653742257072590649956
314 263 0 0 0 0.16600000000000000000000000000000000000 19.506422386432864878353633120172041782
314 281 2 2 2 0.081000000000000000000000000000000000000 19.425558565506236962966862243758890087
316 7 0 0 0 0.045000000000000000000000000000000000000 18.040384010970662571561616304388879851
367 158 1 1 1 0.31100000000000000000000000000000000000 17.952826033075154480919984166307205521
316 29 2 2 2 0.077000000000000000000000000000000000000 18.633016832277672412961512647576592375
316 41 0 0 0 0.054000000000000000000000000000000000000 18.057114121563087974475092667375058231
367 172 0 0 0 0.18000000000000000000000000000000000000 18.365131597278286955919151512894482536
316 61 2 2 2 0.070000000000000000000000000000000000000 18.856488419526288699763319439731651243
367 236 0 0 0 0.11200000000000000000000000000000000000 19.432983580265624515448345618057172464
316 113 0 0 0 0.14100000000000000000000000000000000000 18.586823057708445348366431503290613554
316 121 1 1 1 0.055000000000000000000000000000000000000 17.320901401886779687402093554549110955
316 139 0 0 0 0.090000000000000000000000000000000000000 18.338050366522707365375154274537829508
367 248 1 1 0 0.57100000000000000000000000000000000000 19.665205893960118127675245388495213626
316 211 0 2 0 0.61000000000000000000000000000000000000 19.433870682372890958382463640183880064
367 262 2 2 1 0.53800000000000000000000000000000000000 20.015266917290160042040157858566401140
316 227 1 1 0 0.35400000000000000000000000000000000000 19.500050456442649006962341356858170646
316 239 0 0 0 0.049000000000000000000000000000000000000 19.529834956109282992307564401667574193
367 298 1 1 0 0.56100000000000000000000000000000000000 20.059802656336929789327027268711766744
316 283 1 1 0 0.51100000000000000000000000000000000000 19.446053973893090553518622037265324967
317 2 1 1 1 0.10600000000000000000000000000000000000 17.030172558048047251449821825591292953
367 314 0 0 0 0.25500000000000000000000000000000000000 19.187358581446547362230710783871397176
