# m n cond status hhat cS w2 N0_rig
4 3 22134 OK 2.5524981956456679759950229432062799730085857368315 7.4882413449463824882513011373466858870036091450046 4 6
5 2 4305 OK 2.5529727342181460743367754032165473242269281229322 7.2327685938268274236758442779230221240935372666854 4 6
7 6 1880151 OK 7.1282526922442920604733719002925742794344691813256 9.8076467664669483536170534337021667580733178890982 4 4
8 3 237930 OK 2.0619991381677259023206343953941110990695884546483 9.2581256683571937756138221053022200167281114457861 8 8
8 5 1902810 OK 1.9728436106756197984921624404414752251861102541096 10.007290434006983414789196783882857135435143765108 8 8
10 1 1551165 OK 2.0451105438865853654095314397365333467767470863638 10.218105676342981668005782458943914784198750017432 8 8
10 3 6389565 OK 4.6343939282673423788499350110747027912904499177837 10.295224120165289219684063848297597096893933936846 4 5
11 2 5042037 OK 2.0077682592408422210020979256687568048251616464418 10.718498623688396112602395661092218254163498222417 8 8
11 6 28608195 OK 2.2716458618319795145285286825649257727828959984559 11.038045900168044044510252559997050706232098073672 4 8
11 8 34769658 OK 3.0451216982495320285953826505392966448965205039555 11.499965037530975424910517191760422360242089331081 8 7
12 7 76604010 OK 5.0781530619660024642058967633271709827563537580225 11.510283033668880765422615235070112388853386291966 4 5
12 11 104995506 OK 6.7406471372518073361289806029146886713967014125769 11.913176382405944321944723224314275001440010754465 4 5
13 8 88012470 OK 4.1569665262004935100672700120959504614109777930616 11.923469205698495084692716977444575914341250808170 8 6
13 10 281832915 OK 3.5524534979770230849528287824486489404315066599399 12.227995219508633477883781006551909203085994909424 4 6
13 12 37720410 OK 5.9571879093943277824402126605614387876870953593160 12.219880347987518251173034316756870656044712262215 8 5
14 1 50833965 OK 5.6500183158604799634871226726484397274328059549459 11.468418518348769403683462954946517646860604049257 4 5
14 3 109614351 OK 5.9516449955129529149992198386486135949922647208496 11.691909722884314343920717038159833256426836514481 4 5
14 5 19233795 OK 6.6636755914981355286840056380043274823437497060147 11.547215842506540150351287021036443012273894304652 8 5
15 4 183591870 OK 3.8733646936853866254162067040075677884428530159016 11.948550518078877022936281370949625637691530424564 4 6
15 8 153009570 OK 7.7725151490758761236598669037492392446651785992845 12.235388985605139740094221560421717568339746129536 8 5
15 14 534577155 OK 7.7157478342220915221302277880187419887912193177948 12.765460832339083051533996352174519770654015338832 4 5
16 3 1566474 OK 3.9497269687408648879010764128103296750032382502396 12.220081658977280498422112125697072684200453496249 12 6
16 5 64127910 OK 1.6692399474844580670283399275257019687469879381320 12.159652142207855763180943648057529922525605152298 12 9
16 11 34874070 OK 2.4881938815970213708593299383501855368226017927973 12.925703955783408779542555133859918372660849830389 12 8
16 13 374331594 OK 6.1297983293003323459023493414189765884069687362031 13.099566568448608701016799354906711028348445343672 12 5
16 15 213378270 OK 6.9710191790198512950539908804821729367705477510832 13.010491954857912748959850233624727510642859650265 12 5
17 8 11913090 OK 2.3522979967708792349076330331884035894982937459109 12.473298233726558909652465572564712797102032210170 8 8
