# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
88 47 5535/8272 24030885645690 CLOSED 51 4.0210946470488041432380478847116941972 10397.541379481740669308012178414778403 0 2
88 85 519/14960 216944743916670 CLOSED 45 5.7172497295061461456017035472941601754 11091.574581294270946286561657201281926 0 2
89 2 7917/356 44075060181789 HARD_NO_GENS 0 0.E-38 0.E-38 0 1
89 6 7885/1068 128491629722295 CLOSED 48 4.7282872532604932654785467743587372995 10526.862487497143961372048929235326030 0 2
89 8 7857/1424 3092582652054 CLOSED 36 7.9942342718625453925103255343958253152 10151.330873287654352563123124567978880 0 2
89 44 5985/7832 99686475293790 CLOSED 43 5.9417627559644816777805391721993261032 10496.083660335309949774118130890272173 0 2
89 56 4785/9968 455891542765890 CLOSED 49 4.6032178456265181074076772489085209939 10841.035798055960161383376255533071912 0 2
89 66 3565/11748 187429641453285 CLOSED 41 6.5169051001483508106610998995243853416 10883.593098388237802853747105495236301 0 2
89 84 865/14952 720440358616230 CLOSED 29 13.917505878719949284836754888388476743 11211.168654325437320854988629521765283 0 2
89 88 177/15664 85022886716922 CLOSED 42 6.3735863483264119999809870077070451554 11034.690450983164287551729961635904660 0 2
90 11 7979/1980 78655121017935 CLOSED 45 5.3677890761048273359863365477740574667 10487.264080925984174760667448118211176 0 2
90 41 6419/7380 241242466395 CLOSED 35 8.2193085565368473043892815409616648782 9846.1299690055828836045619320225178821 0 2
90 73 2771/13140 500593256789955 CLOSED 39 7.4043814439220776752239709183238936233 11071.414536088852632007964602883891211 0 2
90 77 2171/13860 469872232124295 CLOSED 46 5.3846919151776039076130887709559232205 11107.758010908278343247214619788285072 0 2
91 36 6985/6552 22354727405010 CLOSED 37 7.8229101137731107139326007931399534963 10255.022110515274081621172453601824667 0 2
91 44 6345/8008 33689000334990 CLOSED 47 4.9116649718917480221506592610334874311 10405.376306841219465097362569593241026 0 2
91 66 3925/12012 303821850577245 CLOSED 34 9.6398865830613464272596407651695223670 10949.675406054696165955343184156088824 0 2
92 1 8463/184 27869264933874 CLOSED 33 9.6637551419656515342405146970871546249 10430.621757961928490354832170454577637 0 2
92 17 8175/3128 10419658907910 CLOSED 44 5.4603847622207613033172017479958708140 10304.540338347597816187869484505499746 0 2
92 45 6439/8280 120392549005890 CLOSED 41 6.3091871326617416726215601446713346584 10559.456474058959611305985761350718349 0 2
92 53 5655/9752 870262674500310 CLOSED 53 3.9566529273846198971752591547707963290 10888.163757600894333730448235516615606 0 2
