# m  n  q  N(E)  status  B  lambda_min  H(E)  squares  #gens_found
6 5 11/60 82005 CLOSED 51 1.7505453495674331847876981066292686482 4506.9291997774014815136505928590588313 0 2
9 8 17/144 2085594 CLOSED 58 1.6874380900140648291481663859485495133 5530.9070661335330313696910036645558504 0 2
13 2 165/52 52597545 CLOSED 56 1.9688612719691365282317189061707570885 5962.5743794819562346191669336191461013 0 2
13 4 153/104 2385474 CLOSED 47 2.5514966719960347862988673092798107676 5592.8411775835824624892847209769006153 0 2
14 13 27/364 35972391 CLOSED 51 2.5858300724567812417299218504776424690 6557.5493226616612508061674849661589671 0 2
18 7 275/252 13999755 CLOSED 69 1.3311497977174239580503914370870049587 6238.8719168758976278256450621122738869 0 2
19 16 105/608 1430969610 CLOSED 58 2.2487501651760466827570190730874391635 7336.3017156127280340443799452355977561 0 2
20 7 351/280 122306730 CLOSED 47 3.1132244423684627717283542676834462597 6650.8332415488460477094054661457182177 0 2
22 1 483/44 1229178489 CLOSED 49 3.0358400274423794816108568995430593966 7136.9745117288058406000011959706480720 0 2
22 21 43/924 8462190891 CLOSED 42 4.5734145726598673953447546814555029629 7848.8570520738303073328069038648008882 0 2
23 14 333/644 5430049737 CLOSED 44 3.9195164483812679659042287543729672612 7515.6803939353642924196986262319153975 0 2
24 7 527/336 3648413622 CLOSED 43 4.0775730715650375286352738150990537639 7315.5162674285687059809672440979175893 0 2
24 13 407/624 7102437342 CLOSED 55 2.5279021339845929231993266300302412454 7517.2906796645027522576215536936741344 0 2
24 17 287/816 742652106 CLOSED 48 3.3319010693739957313432936476118776325 7506.1053103939400425907002984555570622 0 2
25 4 609/200 2015065290 CLOSED 45 3.8055058424925052875449979525234348019 7371.8463575484412332321596241047888831 0 2
27 2 725/108 31939005 CLOSED 45 3.6303115011890733616541027396238978002 7096.8711786942999503610061232951417116 0 2
27 4 713/216 1975208214 CLOSED 43 4.1972608109105898671766135847457844730 7495.9791017867185675161335788661796484 0 2
28 17 495/952 25968426330 CLOSED 52 3.0469373988575760384593493285594080188 7984.8667543428666374148768037284608206 0 2
28 27 55/1512 5274004890 CLOSED 49 3.4480558630537597656545416509852645550 8195.5564305982891345661706555737584841 0 2
29 6 805/348 36902912235 CLOSED 42 4.6687729088890543409772520643485883116 7885.8294526584917778361015490600367115 0 2
29 14 645/812 31858973265 CLOSED 43 4.2870692025947195924732819285523741281 7878.0587635742943370752049780130517770 0 2
29 18 517/1044 37001839413 CLOSED 58 2.4423067391163622112755631768088948852 8094.0751609760479469847382405590073029 0 2
29 22 357/1276 170907292941 CLOSED 48 3.8042555428651743648216008678316313354 8407.6270811128517330341612432891805776 0 2
30 17 611/1020 103934243595 CLOSED 54 2.8355037421123100216481780166153986674 8178.7487513220371205881104574105329616 0 2
31 10 861/620 47632892055 CLOSED 35 6.7297076785081360538862339524591130770 7965.1545404527277601804413825946346529 0 2
31 26 285/1612 289126673745 CLOSED 45 4.4571779635840629926040639973214566023 8647.1978131015144029109984718472480273 0 2
31 30 61/1860 98026007835 CLOSED 41 5.2004813891595791530732117925463426910 8653.5152800137732759042436268669658216 0 2
32 15 799/960 6788280030 CLOSED 50 3.1852885958271365874333685081233000203 7857.3929712845506587994066616843453785 0 2
32 21 583/1344 35907421242 CLOSED 52 3.1177251179802023057769701750791510322 8293.1453999574671735199261282402538731 0 2
32 31 63/1984 5119837674 CLOSED 48 3.7879683901367755893821151694538758017 8409.9350873956905549263685336666765710 0 2
33 10 989/660 88531289385 CLOSED 54 2.8601518193952438457093135984836095729 8138.0176531829960432866865907310672718 0 2
33 20 689/1320 41176024890 CLOSED 48 3.7195752490710340013817836085128271147 8292.4218128418351062401147100219555775 0 2
33 28 305/1848 468114151890 CLOSED 41 5.4148309659828950454950515038304291477 8804.6852035029710093691669889928604201 0 2
34 23 627/1564 503299230819 CLOSED 49 3.6764544812314117106221411080965737317 8678.4466091294226295228975887121956342 0 2
34 25 531/1700 39237946755 CLOSED 46 4.1050591042978567310811329596824161970 8489.9978385323206108434307753378494038 0 2
35 8 1161/560 9339918630 CLOSED 44 4.2841327167025188855049448906548182202 8041.3859230740910083043459622227616462 0 2
36 25 671/1800 56157848670 CLOSED 46 4.1022898486258227224554124823763182829 8571.5767839846157739925669524318439349 0 2
37 4 1353/296 174511945146 CLOSED 41 5.1346565860516037010207991192645723016 8456.5896055171098643968742766319931337 0 2
37 18 1045/1332 79131673005 CLOSED 50 3.3690894184052846978289165822730513820 8364.9873857633736114872039566780215741 0 2
37 24 793/1776 444573717042 CLOSED 45 4.4378306553168920490432104940698592705 8767.7333109181100546227726676753839246 0 2
37 28 585/2072 399086368590 CLOSED 40 5.5608467612318229226586747049625047279 8880.2600520078187860823759370626081172 0 2
37 34 213/2516 120290043657 CLOSED 35 7.3624923784791046505499444369420120958 8915.6576636446225148251915467203108475 0 2
38 17 1155/1292 125065937535 CLOSED 47 3.8032209075691181137383465658731051277 8386.3680410189724306028004220508219016 0 2
38 25 819/1900 76229163465 CLOSED 47 3.9818617882126951578591983126197680612 8645.3883270293434182398746321051814439 0 2
38 27 715/2052 150772266645 CLOSED 51 3.3818103718899501987717397983780757091 8775.1598017742708114332984425779400661 0 2
40 11 1479/880 229887640290 CLOSED 53 3.1294250336640562613932437653403999003 8555.3828207712738795952820488040635748 0 2
41 14 1485/1148 42019085955 CLOSED 49 3.5777638039050963549664339459067210712 8388.6750189403272788525307421620763595 0 2
41 16 1425/1312 7227896970 CLOSED 55 2.7640933360128462928339538784706517161 8179.6630696907930488879129865376711261 0 2
41 32 657/2624 115896029466 CLOSED 51 3.4602884338320091082342006779539247461 8945.5600528942751919049055142540925377 0 2
42 29 923/2436 2856721645869 CLOSED 46 4.4146592482473521354954481780616480985 9206.5596836251698985105322658743852795 0 2
42 41 83/3444 847140053361 CLOSED 35 7.6493120594906216996156716485703071917 9362.0242794566457733971905525145130206 0 2
43 14 1653/1204 638257505529 CLOSED 37 6.6103125552355711348270731317993210572 8746.4784435111120701274235385647263116 0 2
43 26 1173/2236 2376129388269 CLOSED 43 5.0114703603609529053993560294264492383 9119.6044646488343873130208543430255176 0 2
43 36 553/3096 1323930114318 CLOSED 39 6.2948879460855923108142597678570133688 9321.4555665979461377867886926137063599 0 2
44 27 1207/2376 333666437874 CLOSED 34 8.0590414014403793364228698973724158574 8971.8797085761263642596895394092143874 0 2
44 29 1095/2552 3712189286190 CLOSED 49 3.9188822962021672989712282075359881545 9269.9704078316720127670220401260585377 0 2
44 35 711/3080 1638920608710 CLOSED 49 3.9393250720269471919465623131557452439 9338.6537983398942235372489681028724351 0 2
46 9 2035/828 485223831015 CLOSED 58 2.7291323125531215498797184646738362835 8885.3884911683164201877049411695325201 0 2
46 11 1995/1012 1491936596535 CLOSED 48 4.0013428537528013982229038688872585698 8981.8290755778890334967382334795078278 0 2
46 27 1387/2484 58057363623 CLOSED 39 5.9423013709208815317669040935817694593 8832.5700931136611087106402296503369318 0 2
47 4 2193/376 962244675966 CLOSED 40 5.8817280500216457654752414649352540398 9013.6740583537052414001267160397059695 0 2
