[0;31m  ***   Warning: new stack size = 1500000000 (1430.511 Mbytes).[0m
===== dim Sel_2 vs |H(m,n)| on known high-rank fibers =====
(m,n)       |H|    rank_lo  rank_up  dimSel2  H-rank-2  |H|/(rank+2)
[22, 17]  11    3       3       5       6     6
[35, 22]  11    3       3       5       6     6
[37, 26]  10    3       3       5       5     5
[40, 29]  10    3       3       5       5     5
[40, 33]  10    3       3       5       5     5
[41, 18]  10    3       3       5       5     5
[44, 9]  9    3       3       5       4     4
[53, 32]  10    3       3       5       5     5
[59, 40]  12    3       3       5       7     7
[60, 43]  10    3       3       5       5     5
[161, 48]  12    3       3       5       7     7
[173, 16]  10    3       3       5       5     5
[197, 20]  11    3       3       5       6     6
[217, 24]  10    3       5       7       3     5
[99, 28]  12    4       4       6       6     6
[118, 25]  12    4       4       6       6     6
[174, 83]  13    4       4       6       7     7
[176, 63]  12    4       4       6       6     6
[181, 38]  14    4       4       6       8     8
[205, 66]  11    4       4       6       5     5
[209, 72]  14    4       4       6       8     8
[216, 185]  12    4       4       6       6     6
[221, 202]  13    4       4       6       7     7
[261, 52]  12    4       4       6       6     6
[273, 86]  13    4       4       6       7     7
[578, 319]  16    4       4       6       10     10

===== Now also test some rank-2 and rank-1 baseline fibers =====
(m,n)       |H|    rank_lo  rank_up  dimSel2  H-dimSel2
[3, 2]  6    0       0       2       4
[5, 2]  6    1       1       3       3
[4, 1]  6    0       0       2       4
[5, 4]  6    0       0       2       4
[7, 2]  7    0       0       2       5
[8, 3]  7    1       1       3       4
[9, 4]  7    0       0       2       5
[11, 2]  8    1       1       3       5
[12, 5]  7    0       0       2       5
[13, 8]  8    1       1       3       5
[15, 4]  9    1       1       3       6
[16, 9]  7    0       0       2       5
[17, 8]  8    1       1       3       5
[18, 13]  10    1       1       3       7
[21, 10]  9    1       1       3       6
[23, 14]  9    2       2       4       5
[25, 12]  10    1       1       3       7
[27, 4]  9    2       2       4       5
[28, 5]  9    1       1       3       6
[29, 8]  10    1       1       3       7
[30, 17]  11    2       2       4       7
[32, 15]  9    2       2       4       5
