[0;31m  ***   Warning: new stack size = 2000000000 (1907.349 Mbytes).[0m
v = [2/11, -1240/121, 1/11, 0]
G1 on Emin? 1
G2 on Emin? 1
G1 on E: [-180/11, 7020/121] — onE? 1
G2 on E: [-300/11, 5100/121] — onE? 1
h(G1) on E: 2.2892690323915498229457830601858219194
h(G2) on E: 2.4941373178892604869720418094601985018

=== Iterate (a, b) generator combinations, |a|, |b| <= 4 ===

(a=-4, b=-4): is_sq=0, digits(num)=101
(a=-4, b=-3): is_sq=0, digits(num)=78
(a=-4, b=-2): is_sq=0, digits(num)=67
(a=-4, b=-1): is_sq=0, digits(num)=61
(a=-4, b=0): is_sq=0, digits(num)=68
(a=-4, b=1): is_sq=0, digits(num)=79
(a=-4, b=2): is_sq=0, digits(num)=103
(a=-4, b=3): is_sq=0, digits(num)=131
(a=-4, b=4): is_sq=0, digits(num)=172
(a=-3, b=-4): is_sq=0, digits(num)=80
(a=-3, b=-3): is_sq=0, digits(num)=58
(a=-3, b=-2): is_sq=0, digits(num)=42
(a=-3, b=-1): is_sq=0, digits(num)=36
(a=-3, b=0): is_sq=0, digits(num)=37
(a=-3, b=1): is_sq=0, digits(num)=49
(a=-3, b=2): is_sq=0, digits(num)=67
(a=-3, b=3): is_sq=0, digits(num)=97
(a=-3, b=4): is_sq=0, digits(num)=133
(a=-2, b=-4): is_sq=0, digits(num)=72
(a=-2, b=-3): is_sq=0, digits(num)=44
(a=-2, b=-2): is_sq=0, digits(num)=28
(a=-2, b=-1): is_sq=0, digits(num)=17
(a=-2, b=0): is_sq=0, digits(num)=19
(a=-2, b=1): is_sq=0, digits(num)=26
(a=-2, b=2): is_sq=0, digits(num)=46
(a=-2, b=3): is_sq=0, digits(num)=70
(a=-2, b=4): is_sq=0, digits(num)=107
(a=-1, b=-4): is_sq=0, digits(num)=66
(a=-1, b=-3): is_sq=0, digits(num)=39
(a=-1, b=-2): is_sq=0, digits(num)=18
(a=-1, b=-1): is_sq=0, digits(num)=8
(a=-1, b=0): is_sq=0, digits(num)=5
(a=-1, b=1): is_sq=0, digits(num)=13
(a=-1, b=2): is_sq=0, digits(num)=27
(a=-1, b=3): is_sq=0, digits(num)=52
(a=-1, b=4): is_sq=0, digits(num)=84
(a=0, b=-4): is_sq=0, digits(num)=73
(a=0, b=-3): is_sq=0, digits(num)=41
(a=0, b=-2): is_sq=0, digits(num)=21
(a=0, b=-1): is_sq=0, digits(num)=6
(a=0, b=1): is_sq=0, digits(num)=6
(a=0, b=2): is_sq=0, digits(num)=21
(a=0, b=3): is_sq=0, digits(num)=41
(a=0, b=4): is_sq=0, digits(num)=73
(a=1, b=-4): is_sq=0, digits(num)=84
(a=1, b=-3): is_sq=0, digits(num)=52
(a=1, b=-2): is_sq=0, digits(num)=27
(a=1, b=-1): is_sq=0, digits(num)=13
(a=1, b=0): is_sq=0, digits(num)=5
(a=1, b=1): is_sq=0, digits(num)=8
(a=1, b=2): is_sq=0, digits(num)=18
(a=1, b=3): is_sq=0, digits(num)=39
(a=1, b=4): is_sq=0, digits(num)=66
(a=2, b=-4): is_sq=0, digits(num)=107
(a=2, b=-3): is_sq=0, digits(num)=70
(a=2, b=-2): is_sq=0, digits(num)=46
(a=2, b=-1): is_sq=0, digits(num)=26
(a=2, b=0): is_sq=0, digits(num)=19
(a=2, b=1): is_sq=0, digits(num)=17
(a=2, b=2): is_sq=0, digits(num)=28
(a=2, b=3): is_sq=0, digits(num)=44
(a=2, b=4): is_sq=0, digits(num)=72
(a=3, b=-4): is_sq=0, digits(num)=133
(a=3, b=-3): is_sq=0, digits(num)=97
(a=3, b=-2): is_sq=0, digits(num)=67
(a=3, b=-1): is_sq=0, digits(num)=49
(a=3, b=0): is_sq=0, digits(num)=37
(a=3, b=1): is_sq=0, digits(num)=36
(a=3, b=2): is_sq=0, digits(num)=42
(a=3, b=3): is_sq=0, digits(num)=58
(a=3, b=4): is_sq=0, digits(num)=80
(a=4, b=-4): is_sq=0, digits(num)=172
(a=4, b=-3): is_sq=0, digits(num)=131
(a=4, b=-2): is_sq=0, digits(num)=103
(a=4, b=-1): is_sq=0, digits(num)=79
(a=4, b=0): is_sq=0, digits(num)=68
(a=4, b=1): is_sq=0, digits(num)=61
(a=4, b=2): is_sq=0, digits(num)=67
(a=4, b=3): is_sq=0, digits(num)=78
(a=4, b=4): is_sq=0, digits(num)=101

===== End rank-2 fiber (q = 60/11) =====
